url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/data-factory/airflow-configurations,Airflow Configurations,Supported Apache Airflow configurations - Azure Data Factory,Reference supported Apache Airflow configurations in ADF,This article enumerates the Apache Airflow configurations supported by the Workflow Orchestration Manager.,"Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestration Manager (Apache Airflow in Azure Data Factory) workloads toApache Airflow jobs in Microsoft Fabricbefore December 31, 2025. For more information or for support during your migration to Apache Airflow in Microsoft Fabric, contact Microsoft Support. In Workflow Orchestration Manager, Apache Airflow configurations ",2025-12-15T23:10:00.000Z,how-to,configuration,0.9,True,Enumerates supported Airflow configuration keys and allowed values for Workflow Orchestration Manager.,unchanged
https://learn.microsoft.com/en-us/azure/data-factory/airflow-get-ip-airflow-cluster,Retrieve the IP address of an Airflow cluster,Retrieve the IP address of a Workflow Orchestration Manager cluster - Azure Data Factory,Retrieve IP address of Workflow Orchestration Manager cluster,This article provides step-by-step instructions to retrieve the IP address of a Workflow Orchestration Manager's cluster.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,how-to,configuration,0.6,True,"Provides product-specific steps and commands to obtain the cluster IP, useful for network configuration.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/airflow-import-dags-blob-storage,Import Dags using Azure Blob Storage,Import DAGs by using Azure Blob Storage - Azure Data Factory,Import Airflow DAGs into Workflow Orchestration Manager,This article shows the steps required to import DAGs by using Azure Blob Storage.,"This article shows you step-by-step instructions on how to import directed acyclic graphs (DAGs) into Workflow Orchestration Manager by using Azure Blob Storage. Important Workflow Orchestration Manager (powered by Apache Airflow) will be permanently retired in Azure Data Factory on December 31, 2025. The feature is now available in Microsoft Fabric.Learn more We recommend that you migrate all Workflow Orchestration Manager (Apache Airflow in Azure Data Factory) workloads to Data Workflows (Apac",2025-12-15T06:13:00.000Z,conceptual,deployment,0.6,True,Provides product-specific steps and constraints for deploying DAG files via Azure Blob Storage into the managed Airflow runtime.,unchanged
https://learn.microsoft.com/en-us/azure/data-factory/airflow-install-private-package,Install a Private Package,Install a Private package - Azure Data Factory,Install private Python packages in Airflow runtime,This article provides step-by-step instructions on how to install a private package in a Workflow Orchestration Manager runtime.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,how-to,configuration,0.7,True,Explains configuration of private package sources and environment settings in Workflow Orchestration Manager.,unchanged
https://learn.microsoft.com/en-us/azure/data-factory/airflow-pricing,Pricing,Workflow Orchestration Manager pricing - Azure Data Factory,Estimate costs with Workflow Orchestration Manager pricing,This article describes the pricing for Workflow Orchestration Manager.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,article,decision-making,0.7,True,Provides pricing details and likely tiered cost information to guide cost-related decisions for using the service.,unchanged
https://learn.microsoft.com/en-us/azure/data-factory/airflow-sync-github-repository,Sync a GitHub repository,Sync a GitHub repository in Workflow Orchestration Manager - Azure Data Factory,Sync GitHub repositories with Workflow Orchestration Manager,This article provides step-by-step instructions for how to sync a GitHub repository by using Workflow Orchestration Manager in Azure Data Factory.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Important On January 1, 2026 you'll no longer be able to create new Airflow instances using ADF's Workflow Orchestration Manager. We recommend that you migrate all Workflow Orchestratio",2025-12-15T23:10:00.000Z,how-to,integrations,0.7,True,Describes configuration parameters and patterns for integrating GitHub as a DAG source for the managed Airflow environment.,unchanged
https://learn.microsoft.com/en-us/azure/data-factory/apply-dataops,Manage your environment with DataOps,Applying DataOps - Azure Data Factory,Apply DataOps practices to Azure Data Factory,Learn how to apply DataOps to Azure Data Factory.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Azure Data Factory is Microsoft’s Data Integration and ETL service in the cloud. This paper provides guidance for DataOps in data factory. It isn't intended to be a complete tutorial on",2024-01-05T08:00:00.000Z,conceptual,best-practices,0.7,True,"Guidance paper with ADF-specific DataOps recommendations (branching, environments, automation) that go beyond generic best practices.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/apply-finops,FinOps in Azure Data Factory,Applying FinOps - Azure Data Factory,,Learn how to apply FinOps to Azure Data Factory.,This article describes how to apply FinOps in Azure Data Factory.,2024-10-03T08:00:00.000Z,conceptual,,0.2,False,"FinOps guidance is likely high-level cost management concepts and recommendations without product-specific numeric limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/author-global-parameters,Global parameters,Global parameters - Azure Data Factory,Define and use global parameters in ADF,Set global parameters for each of your Azure Data Factory environments,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Global parameters are constants across a data factory that pipelines can consume in any expression. They're useful when you have multiple pipelines with identical parameter names and va",2025-02-16T12:10:00.000Z,concept-article,configuration,0.75,True,"Explains how to create and reference global parameters, including UI locations and expression syntax, which are concrete ADF configuration mechanisms.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/author-management-hub,Management hub,Management hub - Azure Data Factory,Use the Azure Data Factory management hub,"Manage your connections, source control configuration and global authoring properties in the Azure Data Factory management hub","APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! The management hub, accessed by theManagetab in the Azure Data Factory UX, is a portal that hosts global management actions for your data factory. Here, you can manage your connections ",2023-10-20T08:00:00.000Z,concept-article,configuration,0.7,True,"Details management hub sections (connections, Git, global properties) and their configuration options, which are product-specific settings.",unchanged
