url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/firewall/change-sku,Change Azure Firewall SKU,Change Azure Firewall SKU,Choose and change Azure Firewall Standard vs Premium SKU,Learn how to upgrade Azure Firewall from Standard to Premium or downgrade from Premium to Standard using the easy SKU change method or manual migration.,"This article shows you how to change your Azure Firewall SKU between Standard and Premium. You can upgrade from Standard to Premium to take advantage of enhanced security capabilities, or downgrade from Premium to Standard when those features are no longer needed. Azure Firewall Premium provides advanced threat protection features including IDPS, TLS inspection, and URL filtering. You can change your firewall SKU using one of two methods: For more information about Azure Firewall Premium feature",2026-03-18T08:07:00.000Z,how-to,decision-making,0.68,True,"The page is focused on how to upgrade/downgrade between Azure Firewall Standard and Premium SKUs, including when you would change (to gain or drop specific security capabilities). This is SKU/feature-based selection and migration guidance rather than just a how-to. It provides product-specific guidance on choosing between SKUs and how to move between them, which fits the decision-making category better than generic configuration or deployment.",updated
https://learn.microsoft.com/en-us/azure/firewall/choose-firewall-sku,Choose the right SKU,Choose the right Azure Firewall SKU to meet your needs,Select the appropriate Azure Firewall SKU,"Quick comparison guide to help you choose between Azure Firewall Basic, Standard, and Premium SKUs based on your requirements.","Azure Firewall offers three SKUs to meet various customer needs: For detailed information about all Azure Firewall features, seeAzure Firewall features by SKU.",2025-10-01T05:10:00.000Z,concept-article,decision-making,0.75,True,"Explicitly focused on helping choose between Basic, Standard, and Premium with scenario-based guidance; this is SKU selection decision content.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/compliance-certifications,Certifications,Azure Firewall certifications,Understand Azure Firewall compliance certifications,"A list of Azure Firewall certifications for PCI, SOC, and ISO.","To help you meet your own compliance obligations across regulated industries and markets worldwide, Azure maintains the largest compliance portfolio in the industry both in terms of breadth (total number of offerings) and depth (number ofcustomer-facing servicesin assessment scope).
For service availability, seeProducts available by region.",2023-04-28T22:04:00.000Z,concept-article,security,0.6,True,"Lists specific compliance certifications (PCI, SOC, ISO) for Azure Firewall, which are product-specific security/compliance details.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/create-ip-group,"Portal, PowerShell, and CLI",Create IP Groups in Azure Firewall,Create Azure Firewall IP Groups for rule management,IP Groups allow you to group and manage IP addresses for Azure Firewall rules.,"IP Groups allow you to group and manage IP addresses for Azure Firewall rules. They can have a single IP address, multiple IP addresses, or one or more IP address ranges.",2022-11-01T11:19:00.000Z,how-to,configuration,0.7,True,"How-to for creating IP Groups with specific allowed formats (single IPs, ranges); concrete configuration steps for this feature.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/customer-controlled-maintenance,Customer-controlled maintenance,Configure customer-controlled maintenance for Azure Firewall,Set customer-controlled maintenance windows for Azure Firewall,"Learn how to configure customer-controlled maintenance for your Azure Firewall using the Azure portal, or PowerShell.","This article explains how to configure customer-controlled maintenance windows for Azure Firewall. It provides step-by-step guidance for scheduling maintenance using the Azure portal or PowerShell. Azure Firewall is a managed, cloud-based network security service designed to protect Azure Virtual Network and Azure Virtual WAN resources. Regular upgrades are essential to ensure the service remains effective against emerging cyber threats, complies with regulatory requirements, and incorporates th",2025-07-09T11:11:00.000Z,concept-article,configuration,0.7,True,"Provides step-by-step configuration of maintenance windows via portal/PowerShell, including product-specific maintenance settings and parameters.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/deploy-availability-zone-powershell,Deploy with Availability Zones,Deploy Azure Firewall with Availability Zones,,"In this article, you learn how to deploy an Azure Firewall with Availability Zones.",,2026-01-15T23:11:00.000Z,how-to,,0.3,False,"Availability Zones deployment via PowerShell; likely procedural without detailed limits, config parameter tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/deploy-bicep,Bicep,Quickstart: Create an Azure Firewall with Availability Zones - Bicep,,"In this quickstart, you deploy Azure Firewall using Bicep. The virtual network has one VNet with three subnets. Two Windows Server virtual machines, a jump box, and a server are deployed.","In this quickstart, you use Bicep to deploy an Azure Firewall in three Availability Zones. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and support for code reuse. Bicep offers the best authoring experience for your infrastructure-as-code solutions in Azure. The Bicep file creates a test network environment with a firewall. The network has one virtual network (VNet) with three subnets:AzureFirew",2023-03-08T00:00:00.000Z,quickstart,,0.2,False,"Bicep quickstart for AZ zones; example deployment only, no expert-level limits or configuration matrices.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/deploy-cli,With Azure CLI,Deploy and configure Azure Firewall using Azure CLI,,"In this article, you learn how to deploy and configure Azure Firewall using the Azure CLI.","Controlling outbound network access is an important part of an overall network security plan. For example, you may want to limit access to web sites. Or, you may want to limit the outbound IP addresses and ports that can be accessed. One way you can control outbound network access from an Azure subnet is with Azure Firewall. With Azure Firewall, you can configure: Network traffic is subjected to the configured firewall rules when you route your network traffic to the firewall as the subnet defau",2026-01-28T23:12:00.000Z,how-to,,0.4,False,"CLI deployment how-to; similar to PowerShell article, focused on basic deployment steps rather than exhaustive configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/firewall/deploy-firewall-basic-portal-policy,Deploy Basic firewall,Deploy & configure Azure Firewall Basic and policy using the Azure portal,Deploy Azure Firewall Basic for SMB scenarios,"In this how-to, you learn how to deploy and configure Azure Firewall Basic and policy rules using the Azure portal.","Azure Firewall Basic provides the essential protection SMB customers need at an affordable price point. This solution is recommended for SMB customer environments with less than 250 Mbps throughput requirements. It is recommended to deploy theStandard SKUfor environments with more than 250 Mbps throughput requirements and thePremium SKUfor advanced threat protection. Filtering network and application traffic is an important part of an overall network security plan. For example, you may want to l",2023-03-15T00:00:00.000Z,how-to,decision-making,0.65,True,Includes explicit throughput threshold (<250 Mbps) for when to use Basic vs Standard vs Premium; this is quantified SKU selection guidance.,unchanged
https://learn.microsoft.com/en-us/azure/firewall/deploy-multi-public-ip-powershell,PowerShell,Deploy Azure Firewall with multiple public IP addresses using PowerShell,Deploy Azure Firewall with multiple public IP limits,"In this article, you learn how to deploy an Azure Firewall with multiple public IP addresses using the Azure PowerShell.","This feature enables the following scenarios: Azure Firewall with multiple public IP addresses is available via the Azure portal, Azure PowerShell, Azure CLI, REST, and templates.
You can deploy an Azure Firewall in a Hub VNET with up to 250 public IP addresses, however DNAT destination rules will also count toward the 250 maximum.
The limit for an Azure Firewall in a VHUB deployment with Bring your own Public IP is 250 addresses and for classic VHUB deployment is 80 public IP addresses. Note In",2025-12-16T18:11:00.000Z,how-to,limits-quotas,0.9,True,"Contains precise maximum public IP counts per deployment type (Hub VNET up to 250, vHub BYOIP 250, classic vHub 80) and notes DNAT rules counting toward the 250 limit.",unchanged
