url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/cost-management,Cost management,Cost management with Azure AI Metrics Advisor - Azure AI services,Plan and manage Azure Metrics Advisor costs,Learn about cost management and pricing for Azure AI Metrics Advisor,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. Azure AI Metrics Advisor monitors the performance of your organization's growth engines, including sales revenue and manufacturing operations. Quickly identify and fix problems through a powerful combination of monitoring in near-real time, adapting models to your scenario, and offering granular analysis with diagno",2025-06-12T08:00:00.000Z,concept-article,decision-making,0.65,True,"Cost management/pricing page for a specific service usually includes pricing units, metering dimensions, and usage patterns to control cost, helping users decide how to configure and use tiers, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/data-feeds-from-different-sources,Connect different data sources,Connect different data sources to Metrics Advisor - Azure AI services,Connect diverse data sources to Metrics Advisor,Add different data feeds to Metrics Advisor,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. Important Microsoft recommends that you use the most secure authentication flow available. Some of the authentication flows described in this article require a very high degree of trust in the application, and carries risks that are not present in other more secure flows. You should only use this flow when other mor",2025-06-12T08:00:00.000Z,how-to,integrations,0.7,True,"Describes connecting different data sources with multiple authentication flows; such pages typically list connection string formats and auth parameters per source, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/encryption,Use customer-managed keys,Metrics Advisor service encryption - Azure AI services,Configure data-at-rest encryption for Metrics Advisor,Metrics Advisor service encryption of data at rest.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. Important Microsoft recommends that you use the most secure authentication flow available. Some of the authentication flows described in this article require a very high degree of trust in the application, and carries risks that are not present in other more secure flows. You should only use this flow when other mor",2025-06-12T08:00:00.000Z,how-to,security,0.75,True,"Encryption article for a specific service typically details key management, encryption options, and possibly Key Vault integration and role scopes, which are product-specific security configurations.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/faq,Metrics Advisor FAQ,Metrics Advisor frequently asked questions - Foundry Tools,,Frequently asked questions about the Metrics Advisor service.,,2025-11-18T19:04:00Z,faq,,0.3,False,"FAQ for the service; description doesn’t mention error codes, config tables, or numeric limits, likely conceptual and usage questions.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/glossary,Metrics Advisor key terms,Metrics Advisor glossary - Azure AI services,,Key ideas and concepts for the Metrics Advisor service,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. This document explains the technical terms used in Metrics Advisor. Use this article to learn about common concepts and objects you might encounter when using the service.",2025-06-12T08:00:00.000Z,glossary,,0.1,False,"Glossary of terms; definitional and conceptual, not configuration, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/alerts,Configure alerts and get notifications using a hook,Configure Metrics Advisor alerts - Azure AI services,Configure Metrics Advisor alert hooks and rules,"How to configure your Metrics Advisor alerts using hooks for email, web and Azure DevOps.","Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. After an anomaly is detected by Metrics Advisor, an alert notification will be triggered based on alert settings, using a hook. An alert setting can be used with multiple detection configurations, various parameters are available to customize your alert rule.",2025-06-12T08:00:00.000Z,how-to,configuration,0.7,True,"Covers alert settings and hooks (email, web, Azure DevOps) with various parameters to customize alert rules, which are product-specific configuration options.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/anomaly-feedback,Adjust anomaly detection using feedback,Provide anomaly feedback to the Metrics Advisor service - Azure AI services,,"Learn how to send feedback on anomalies found by your Metrics Advisor instance, and tune the results.","Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. User feedback is one of the most important methods to discover defects within the anomaly detection system. Here we provide a way for users to mark incorrect detection results directly on a time series, and apply the feedback immediately. In this way, a user can teach the anomaly detection system how to do anomaly d",2025-06-12T08:00:00.000Z,how-to,,0.4,False,Anomaly feedback article likely explains how to mark anomalies and influence the model; summary doesn’t indicate detailed config parameters or numeric thresholds beyond general behavior.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/configure-metrics,Configure metrics and fine tune detection configuration,Configure your Metrics Advisor instance using the web portal - Azure AI services,Configure Metrics Advisor instance and detection settings,How to configure your Metrics Advisor instance and fine-tune the anomaly detection results.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. Use this article to start configuring your Metrics Advisor instance using the web portal and fine-tune the anomaly detection results.",2025-06-12T08:00:00.000Z,how-to,configuration,0.7,True,"Explicitly about configuring the instance and fine-tuning anomaly detection; such pages usually expose named settings, thresholds, and allowed values, matching configuration.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/credential-entity,Create a credential entity,Create a credential entity - Azure AI services,Create secure credential entities for Metrics Advisor,How to create a credential entity to manage your credential in secure.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. When onboarding a data feed, you should select an authentication type, some authentication types likeAzure SQL Connection StringandService Principalneed a credential entity to store credential-related information, in order to manage your credential in secure. This article will tell how to create a credential entity ",2025-06-12T08:00:00.000Z,how-to,security,0.7,True,"Focused on credential entities and authentication types (Azure SQL connection string, service principal). Likely includes specific auth parameters and secure storage patterns, matching product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/diagnose-an-incident,Diagnose an incident,Diagnose an incident using Metrics Advisor - Azure AI services,,"Learn how to diagnose an incident using Metrics Advisor, and get detailed views of anomalies in your data.","Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026.",2025-06-12T08:00:00.000Z,how-to,,0.4,False,"Diagnosing incidents article sounds like usage guidance and UI walkthrough; summary doesn’t mention specific error codes, logs, or symptom→cause→solution mappings required for troubleshooting classification.",unchanged
