url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/databricks/,Azure Databricks Documentation,Azure Databricks documentation,,"Learn Azure Databricks, a unified analytics platform for data analysts, data engineers, data scientists, and machine learning engineers.","Learn Azure Databricks, a unified analytics platform for data analysts, data engineers, data scientists, and machine learning engineers.",2025-12-02T19:20:00Z,landing-page,,0.0,False,"High-level product documentation landing page; no detailed limits, configs, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/,Administration topics,Administration - Azure Databricks,,"Manage your Databricks account, workspaces, users, security, compute resources, and monitor usage across your organization.","Databricks provides comprehensive administration capabilities to manage your account, workspaces, identities, and resources across your organization. Use these tools to configure account settings, deploy workspaces, manage users and groups, control compute resources, and monitor usage.",2025-09-22T17:57:00.000Z,concept-article,,0.2,False,High-level administration landing page; conceptual overview and navigation without detailed settings or parameters.,unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/access-control/tokens,Monitor and manage access to personal access tokens,Monitor and revoke personal access tokens - Azure Databricks,Monitor and revoke Azure Databricks personal access tokens,Manage access authentication for Azure Databricks REST API clients using personal access tokens (PATs).,"To authenticate to the Azure DatabricksREST API, a user can create a personal access token (PAT) and use it in their REST API request. A user can also create a service principal and use it with a personal access token to call Azure Databricks REST APIs in their CI/CD tools and automation. This article explains how Azure Databricks admins can manage personal access tokens in their workspace. To create a personal access token, seeAuthenticate with Azure Databricks personal access tokens (legacy).",2026-01-06T08:00:00.000Z,concept-article,security,0.7,True,"Details admin workflows and controls for listing, monitoring, and revoking PATs in Databricks, including product-specific token management behavior.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/,Account management overview,Manage your Azure Databricks account - Azure Databricks,Configure Azure Databricks account-level settings,"Learn how to manage account-level Azure Databricks configurations, including user management, workspace creation, and diagnostic logging, and learn when to use the Azure Databricks account console or ","This article describes the settings available to account admins on theaccount console. Azure Databricks accounts are managed both through the Azure Databricksaccount consoleand the Azure Portal. In the account console, account admins manageUnity Catalog metastores,users and groups, and various account-level settings including feature enablement, email preferences, language settings, and account naming. The Azure Portal is where users with the Azure Contributor or Owner role can create workspaces",2026-01-08T08:00:00.000Z,concept-article,configuration,0.7,True,"Describes specific account console settings (Unity Catalog metastores, feature flags, email/language preferences) and when to use account console vs Azure portal.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/account,Manage your subscription,Manage your subscription - Azure Databricks,Manage and change Azure Databricks subscription,Learn how to manage your Azure Databricks account subscription. Including deleting the account.,"This article explains how to upgrade, downgrade, or cancel your Azure Databricks subscription.",2025-11-06T23:11:00.000Z,concept-article,configuration,0.65,True,"Explains concrete procedures and options to upgrade, downgrade, or cancel Databricks subscriptions, which are product-specific configuration actions.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/audit-log-delivery,Configure diagnostic log delivery,Configure diagnostic log delivery - Azure Databricks,Configure Azure Databricks diagnostic log delivery,Learn how to configure audit log delivery.,"Note Databricks recommends using the audit log system table (system.access.audit) to access your account's audit logs. SeeAudit log system table reference. This article describes how to enable diagnostic log delivery for your Azure Databricks workspaces. Note Diagnostic logs require thePremium plan. Log in to the Azure portal as an Owner, Contributor, or as a user with a custom role with theMicrosoft.Databricks/workspaces/assignWorkspaceAdmin/actionpermission for the Azure Databricks workspace. ",2025-10-22T22:05:00.000Z,concept-article,configuration,0.8,True,"Describes how to enable log delivery with specific Azure roles and permissions (e.g., Microsoft.Databricks/workspaces/assignWorkspaceAdmin/action), which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/audit-logs,Diagnostic logs reference guide,Diagnostic log reference - Azure Databricks,Reference Azure Databricks diagnostic audit log events,Learn which services and events are recorded in the audit logs.,Note This feature requires thePremium plan. This article provides you with a comprehensive reference of audit log services and events. The availability of these services depends on how you access the logs: Note Azure Databricks retains a copy of audit logs for up to 1 year for security and fraud analysis purposes.,2026-03-16T08:00:00.000Z,concept-article,configuration,0.8,True,"A 'comprehensive reference of audit log services and events' will enumerate service names, event types, and possibly fields and categories. These are product-specific log schemas and event identifiers, which qualify as expert configuration/diagnostic reference data. The note about 1-year retention is a specific value but the main content is a structured reference of events.",updated
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/budgets,Create and monitor budgets,Create and monitor budgets - Azure Databricks,Configure and monitor Azure Databricks account budgets,Learn how to set up and monitor budgets in your Azure Databricks account.,"This article explains how to use budgets to track spending in your Azure Databricks account. Budgets enable you to monitor usage across your account. You can set up budgets to either track account-wide spending, or apply filters to track the spending of specific teams, projects, or workspaces. Budgets are measured in USD and use the list price of the SKU, including platform add-ons. Important Budgets improve your ability to monitor usage. They do not stop usage or charges from happening. Your fi",2026-03-09T08:00:00.000Z,concept-article,configuration,0.6,True,"Describes Databricks-specific budget configuration including currency, SKU price basis, and filter semantics for teams/projects/workspaces, which are product-specific settings.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/legacy-features,Disable legacy features,Disable access to legacy features in new workspaces - Azure Databricks,Disable legacy features in new Databricks workspaces,Learn how to remove access to legacy features across your Databricks workspaces.,"This page describes how to use theDisable legacy featuresaccount setting so new workspaces in your account are provisioned without access to legacy features. This setting disables the following legacy features in all new workspaces in your account: Workspace admins can use workspace-level settings to disable legacy features in existing workspaces. These settings can also be used to enable the legacy features in new workspaces, if needed. SeeManage legacy features at the workspace level.",2025-12-19T08:00:00.000Z,concept-article,configuration,0.75,True,"Documents a specific account setting (Disable legacy features) and its effects on workspace provisioning, including which features are toggled.",unchanged
https://learn.microsoft.com/en-us/azure/databricks/admin/account-settings/no-isolation-shared,"Enable admin protection for ""No Isolation Shared"" clusters on your account",Enable admin protection for no isolation shared clusters in your account - Azure Databricks,Enable admin protection for no isolation shared clusters,Learn how to enable admin protection for “No isolation shared” clusters on your account.,This page describes how account admins can use an account-level setting to prevent internal credentials from being automatically generated for Azure Databricks workspace admins on no isolation shared clusters. Note Workspace admins can use theEnforce User Isolation settingto disable the use of no isolation shared clusters in a workspace. Account admins can disable no isolation shared clusters in all new workspaces using theDisable legacy featuressetting. The admin protection for No Isolation Sha,2025-08-13T19:12:00.000Z,concept-article,configuration,0.75,True,Describes an account-level setting controlling internal credential generation for no isolation shared clusters and its interaction with workspace-level settings.,unchanged
