url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/networking/azure-for-network-engineers,Azure for network engineers,Azure for Network Engineers,,This page explains to traditional network engineers how networks work in Azure.,"As a conventional network engineer you have dealt with physical assets such as routers, switches, cables, firewalls to build infrastructure. At a logical layer you have configured virtual LAN (VLAN), Spanning Tree Protocol (STP), routing protocols (RIP, OSPF, BGP). You have managed your network using management tools and CLI. Networking in the cloud is different where network endpoints are logical and use of routing protocols is minimum. You will work with Azure Resource Manager API, Azure CLI, ",2021-08-16T17:04:00.000Z,article,,0.1,False,"Conceptual explanation of how networking in Azure differs from traditional networking; no concrete configs, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/networking/azure-network-latency,Azure network latency,Azure network round-trip latency statistics,Use Azure region latency stats for architecture planning,Learn about round-trip latency statistics between Azure regions.,This article provides round-trip latency statistics between Azure regions to help you optimize your cloud architecture and deployment decisions. The data comes from continuous network monitoring across Azure's global infrastructure and represents real-world performance measurements. Use these statistics to:,2025-08-18T17:25:00.000Z,concept-article,decision-making,0.75,True,Provides concrete round-trip latency statistics between regions to guide deployment and architecture decisions; quantitative data not inferable from training alone.,unchanged
https://learn.microsoft.com/en-us/azure/networking/check-usage-against-limits,Check resource usage against Azure limits,Check Azure resource usage against limits,,Learn how to check your Azure resource usage against Azure subscription limits.,"In this article, you learn how to see the number of each network resource type that you've deployed in your subscription and what yoursubscription limitsare. The ability to view resource usage against limits is helpful to track current usage, and plan for future use. You can use theAzure portal,PowerShell, or theAzure CLIto track usage.",2023-04-13T11:17:00.000Z,how-to,,0.4,False,"Explains how to view resource usage vs subscription limits using portal/CLI/PowerShell; the actual numeric limits are elsewhere, so this is procedural rather than expert limits content.",unchanged
https://learn.microsoft.com/en-us/azure/networking/connectivity-interoperability-control-plane,Control Plane Analysis,Interoperability in Azure - Control plane analysis,Analyze control plane routing interoperability in Azure,"This article provides the control plane analysis of the test setup you can use to analyze interoperability between ExpressRoute, a site-to-site VPN, and virtual network peering in Azure.",This article describes the control plane analysis of the test setup. You can also review the test setup configuration and the data plane analysis of the test setup. Control plane analysis essentially examines routes that are exchanged between networks within a topology. Control plane analysis can help you understand how different networks view the topology.,2023-06-29T11:24:00.000Z,concept-article,architecture-patterns,0.6,True,"Control plane analysis of routes exchanged between ExpressRoute, VPN, and VNet peering; provides product-specific routing behavior patterns and trade-offs.",unchanged
https://learn.microsoft.com/en-us/azure/networking/connectivity-interoperability-data-plane,Data Plane Analysis,Interoperability in Azure - Data plane analysis,Analyze data plane paths across Azure networks,"This article provides the data plane analysis of the test setup you can use to analyze interoperability between ExpressRoute, a site-to-site VPN, and virtual network peering in Azure.","This article describes the control plane analysis of the test setup. You can also review the test setup configuration and the data plane analysis of the test setup. Data plane analysis examines the path taken by packets that traverse from one local network (LAN or virtual network) to another within a topology. The data path between two local networks isn't necessarily symmetrical. Therefore, in this article, we analyze a forwarding path from a local network to another network that's separate fro",2023-06-29T11:24:00.000Z,concept-article,architecture-patterns,0.6,True,Data plane analysis of packet forwarding paths between LANs and VNets; details Azure-specific path asymmetry and interoperability behavior.,unchanged
https://learn.microsoft.com/en-us/azure/networking/connectivity-interoperability-preface,Preface and Test Setup,Interoperability in Azure - Test setup,,"This article describes a test setup you can use to analyze interoperability between ExpressRoute, a site-to-site VPN, and virtual network peering in Azure.",This article describes a test setup you can use to analyze how Azure networking services interoperate at the control plane level and data plane level. Let's look briefly at the Azure networking components: Azure ExpressRoute: Use private peering in Azure ExpressRoute to directly connect private IP spaces in your on-premises network to your Azure Virtual Network deployments. ExpressRoute can help you achieve higher bandwidth and a private connection. Many ExpressRoute eco partners offer ExpressRo,2023-06-29T11:24:00.000Z,how-to,,0.4,False,Describes a test setup for interoperability analysis; summary does not indicate detailed configuration tables or product-specific parameters.,unchanged
https://learn.microsoft.com/en-us/azure/networking/create-zero-trust-network-web-apps,Create a Zero Trust network for web applications,Deploy a Zero Trust Virtual Network for Web Applications,Deploy a Zero Trust virtual network for web apps,"Deploy a Zero Trust virtual network configuration for web applications in Azure using Azure Firewall, Azure Application Gateway, Web Application Firewall, and other virtual network services.",,2023-01-23T12:15:00.000Z,how-to,security,0.65,True,"Describes a concrete Zero Trust VNet configuration using Azure Firewall, Application Gateway, WAF, and related services; likely includes product-specific security configuration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/networking/fundamentals/architecture-guides,Architecture guides,Azure Networking architecture documentation,,Learn about the reference architecture documentation available for Azure networking services.,This article provides information about architecture guides that can help you explore the different networking services in Azure available to you for building your applications.,2023-06-13T08:00:00.000Z,concept-article,,0.2,False,Navigation/overview page listing networking architecture guides; does not itself contain detailed patterns or configs.,unchanged
https://learn.microsoft.com/en-us/azure/networking/fundamentals/lumenisity-patent-list,Lumenisity UoS Patents,Lumenisity University of Southampton Patents,,"List of Lumenisity UoS Patents as of April 19, 2023.","The following is a list of patents owned by Lumenisity UoS (University of Southampton) as of April 19, 2023. This list is subject to change without notice. Note Microsoft Hollow Core Fiber products and manufacturing processes may be protected by one or more claims of the following patents or published patent applications.",2024-11-21T23:02:00.000Z,concept-article,,0.5,False,List of patents related to Lumenisity Hollow Core Fiber; legal/patent information rather than actionable product configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/networking/fundamentals/networking-overview,About Azure networking,Azure networking services overview,,"Learn about the various networking services in Azure, including networking foundation, load balancing and content delivery, hybrid connectivity, and network security services.",The networking services in Azure provide various networking capabilities that can be used together or separately. Select each of the following networking scenarios to learn more about them:,2025-06-26T08:00:00.000Z,overview,,0.1,False,"High-level overview of Azure networking services without detailed limits, configs, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/networking/fundamentals/resource-graph-samples,Azure Resource Graph queries,Azure Resource Graph sample queries for Azure networking,Run Azure Resource Graph queries for networking resources,Sample Azure Resource Graph queries for Azure networking showing use of resource types and tables to access Azure networking related resources and properties.,This page is a collection ofAzure Resource Graphsample queries for Azure networking.,2024-06-12T05:46:00.000Z,sample,integrations,0.7,True,Provides concrete Resource Graph sample queries using specific networking resource types and table schemas; product-specific query patterns and field usage.,unchanged
https://learn.microsoft.com/en-us/azure/networking/load-balancer-content-delivery/,Load balancing and content delivery,Azure load balancing and content delivery,,"Discover how to secure and optimize your application with Azure load balancing and content delivery services. Learn how Azure Load Balancer, Application Gateway, and Front Door improve performance.",Overview,2025-06-26T15:48:00Z,hub-page,,0.1,False,"Overview of load balancing and content delivery services; likely marketing/introductory without detailed limits, configs, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/networking/microsoft-global-network,Microsoft global network,Microsoft global network - Azure,,"Learn how Microsoft builds and operates one of the largest backbone networks in the world, and why it's central to delivering a great cloud experience.","Microsoft owns and operates one of the largest backbone networks in the world. This global and sophisticated architecture, spanning more than 165,000 miles, connects our datacenters and customers. Every day, customers around the world connect and pass trillions of requests to Microsoft Azure, Bing, Dynamics 365, Microsoft 365, XBox, and many others. Regardless of type, customers expect instant reliability and responsiveness from our services. TheMicrosoft global network(WAN) is a central part of",2023-04-07T00:00:00.000Z,concept-article,,0.2,False,Describes Microsoft’s global backbone network at a high level; largely architectural/marketing overview without actionable configs or limits.,unchanged
https://learn.microsoft.com/en-us/azure/networking/network-monitoring-overview,Network monitoring overview,Network Monitoring in Azure Monitor logs,,"Overview of network monitoring solutions, including network performance monitor, to manage networks across cloud, on-premises, and hybrid environments.","Azure offers a host of solutions to monitor your networking assets. Azure has solutions and utilities to monitor network connectivity, the health of ExpressRoute circuits, and analyze network traffic in the cloud. Important As of July 1, 2021, you can no longer add new tests in an existing workspace or enable a new workspace in Network Performance Monitor (NPM). You're also no longer able to add new connection monitors in Connection Monitor (Classic). You can continue to use the tests and connec",2023-10-30T17:02:00.000Z,concept-article,,0.3,False,"Overview of network monitoring solutions and deprecation notice; summary does not show detailed configuration tables, error codes, or limits.",unchanged
https://learn.microsoft.com/en-us/azure/networking/networking-partners-msp,Providers,Networking Partners: Azure Networking,,Learn about Azure Networking Managed Service Provider Partner Program and find a list of partners that offer cloud and hybrid networking services.,"TheAzure Networking Managed Service Provider (MSP) Partner Programenables network-services focused MSPs, Telcos, and Systems Integrators (SIs) to offer cloud and hybrid networking services centered around Azure's portfolio of networking products and services. Azure Networking MSPs are a specialized set of managed service providers that address the enterprise cloud networking needs and challenges across all aspects of cloud and hybrid networking. The managed network services include one or more o",2025-10-14T08:00:00.000Z,concept-article,,0.1,False,Program/partner overview for networking MSPs; marketing and partner listing without technical configuration or decision matrices.,unchanged
https://learn.microsoft.com/en-us/azure/networking/nva-accelerated-connections,NVA accelerated connections,Accelerated connections network performance optimization on NVAs and VMs,Optimize NVA and VM performance with Accelerated Connections,Learn how Accelerated Connections improves networking performance for NVAs and VMs.,"This article helps you understand theAccelerated Connectionsfeature. When Accelerated Connections is enabled on the virtual network interface (vNIC) with Accelerated Networking, this feature significantly improves networking efficiency, resulting in enhanced overall performance. This high-performance feature offers industry leading performance in Connections Per Second (CPS) optimization, along with improvements to handling large amounts of simultaneous connections. The feature also improves the",2025-08-04T22:16:00.000Z,concept-article,best-practices,0.6,True,"Explains a product-specific performance feature with concrete behavior (CPS optimization, handling many connections) and likely includes configuration guidance unique to Azure networking.",unchanged
