url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/sre-agent/agent-hooks,Agent hooks,Agent Hooks in Azure SRE Agent,Configure agent hooks to control Azure SRE Agent behavior,Intercept and control agent behavior with custom scripts or LLM-based validation that runs before or after specific agent actions.,"Hooks are custom checkpoints that intercept and control agent behavior at key moments. Use hooks to enforce quality gates on agent responses, audit and control tool usage, block dangerous operations with policy enforcement, and prevent early task completion by validating agent output.",2026-03-10T04:29:00.000Z,conceptual,configuration,0.6,True,"Hooks are custom checkpoints before/after actions; page likely documents specific hook types, trigger points, and configuration options, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/agent-playground,Agent playground,Agent Playground in Azure SRE Agent,,Test and refine your agent configurations in real time before deploying changes with the split-screen editor and AI-powered evaluation.,"Test subagent behavior in real time before deploying changes. Edit instructions, tools, and handoffs with instant feedback in a split-screen layout. Evaluate agent quality with AI-powered scoring and quick fixes.",2026-03-10T04:29:00.000Z,conceptual,,0.4,False,Agent playground description (testing and evaluation); summary does not show concrete configuration parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/agent-reasoning,Agent reasoning,Agent Reasoning in Azure SRE Agent,,"Learn how your agent processes requests, selects tools, classifies actions, and explains its thinking.","Your agent reasons through problems rather than following scripts. It gathers evidence, selects the right tools, classifies actions by risk, and explains its thinking, all visible in the chat interface.",2026-03-10T04:29:00.000Z,conceptual,,0.3,False,Explains reasoning process conceptually; no product-specific configuration or numeric decision thresholds indicated.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/ask-agent,Ask the agent for help,Learn to Use Azure SRE Agent Through Chat,,Use Azure SRE Agent to teach you how to learn the agent.,"One of the easiest ways to learn how to use Azure SRE Agent is to ask the agent your questions. The agent has access to all the product documentation in addition to specialized knowledge of Azure. For a list of sample prompts, see theprompt libraryfor more ideas of how to work with the agent.",2026-03-10T04:29:00.000Z,concept-article,,0.1,False,Explains learning via chat and sample prompts; no expert-level technical details.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/audit-agent-actions,Audit agent actions,Audit Agent Actions in Azure SRE Agent,Query Azure SRE Agent action logs with KQL,"Query your agent's actions, tool calls, and incident outcomes using Application Insights telemetry and KQL.","Every agent action, including tool calls, model invocations, incident handling, and approval decisions, is logged to your Application Insights resource. Query thecustomEventstable by using Kusto Query Language (KQL) to see exactly what your agent did, when, and why. Access logs directly fromMonitor>Logsin the agent portal.",2026-03-10T04:29:00.000Z,reference,troubleshooting,0.65,True,"Describes how to query agent actions, tool calls, and incident outcomes via Application Insights customEvents using KQL. This is product-specific diagnostic/telemetry guidance that helps trace what the agent did, when, and why, fitting a troubleshooting/diagnostics pattern.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/automate-actions,Step 5: Automate actions,Step 5: Automate Actions in Azure SRE Agent,,"Create scheduled tasks with email notifications using connectors, subagents, and scheduled task triggers.","Estimated time: 10 minutes Build an automated health check that runs on a schedule and sends results by email. You connect a tool (Outlook), create a subagent to use it, and attach a scheduled task to trigger it.",2026-03-10T04:29:00.000Z,tutorial,,0.3,False,Scenario tutorial for scheduled tasks and email; no configuration tables or product-specific constraints.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/azure-devops-connector,Set up Azure DevOps connector,Tutorial: Set Up an Azure DevOps Connector in Azure SRE Agent,Configure Azure DevOps connector for Azure SRE Agent,"Connect your agent to Azure DevOps for repository access, work item management, and wiki documentation.","In this tutorial, you connect your agent to Azure DevOps so it can access repositories, wikis, and documentation across your organization. When you finish this tutorial, your agent has authenticated access to an Azure DevOps organization and can read repositories, create work items, and correlate code changes with incidents. Estimated time: 5 minutes In this tutorial, you: Note Your agent references your Azure DevOps repositories and wikis during investigations to find relevant code, procedures,",2026-03-10T04:29:00.000Z,tutorial,integrations,0.8,True,"Tutorial for connecting to Azure DevOps for repos, work items, and wikis. This involves product-specific connector settings, permissions, and API scopes that qualify as integration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/azure-devops-wiki-knowledge,Azure DevOps Wiki knowledge,Azure DevOps Wiki Knowledge in Azure SRE Agent,Connect Azure DevOps wikis as knowledge sources for SRE Agent,"Connect your Azure DevOps wikis as knowledge sources so your agent references runbooks, procedures, and documentation during investigations.","Connect your Azure DevOps wikis so your agent references your team's runbooks and procedures during investigations. Wiki content is indexed and searchable, and your agent finds the right page automatically. The connector supports both managed identity and personal access token (PAT) authentication.",2026-03-10T04:29:00.000Z,conceptual,integrations,0.7,True,Explains connecting Azure DevOps wikis with support for managed identity and PAT; this is a concrete integration with authentication configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/billing,Billing,Billing for Azure SRE Agent Preview,Understand billing and cost model for Azure SRE Agent,Learn how different agent actions are billed in Azure SRE Agent.,"Azure SRE Agent works on your behalf in two ways. As soon as you create the agent, it begins monitoring your resources. During this time, the agent examines system data and learns about your resource's behavior. This continuous attention ensures that the agent is ready to respond to problems regardless of the scale or complexity of what you deploy on Azure. This type of action is calledalways-on flow. The agent works differently from continuous monitoring when the agent works on tasks on its own",2025-09-22T22:32:00.000Z,concept-article,decision-making,0.65,True,Explains billing for always-on flow vs task-based actions; likely includes usage dimensions and cost behaviors that inform capacity and cost planning decisions.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/chat-from-your-tools,Chat from your tools,Chat from Your Tools in Azure SRE Agent,Use Azure SRE Agent from Microsoft Teams,Interact with your agent directly in Microsoft Teams without leaving your current workflow.,"Chat with your agent directly in Microsoft Teams. Send direct messages for private investigations, or@mention your agent in channels so your whole team sees the analysis. Every channel connects to the same agent with the same reasoning, memory, and tool access.",2026-03-10T04:29:00.000Z,conceptual,integrations,0.6,True,Describes chatting with the agent directly in Teams; likely includes product-specific configuration or usage patterns for this integration.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/code-interpreter,Code interpreter,Run code with code interpreter in Azure SRE Agent,Use SRE Agent code interpreter for Python and shell,"Learn how to use code interpreter to execute Python code, run shell commands, and generate reports in an isolated sandbox environment.","The SRE Agent code interpreter enables you to execute Python code and shell commands in a secure, isolated sandbox environment. Use Code Interpreter to analyze data, create visualizations, generate PDF reports, and automate file operations without leaving your SRE Agent conversation. In this article, you learn how to:",2026-01-27T18:10:00.000Z,how-to,configuration,0.65,True,"Describes executing Python and shell commands in a sandbox; likely includes product-specific capabilities, constraints, and parameters for the interpreter environment.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connect-devops-wiki,Connect Azure DevOps Wiki,Tutorial: Connect an Azure DevOps Wiki to Azure SRE Agent,Connect Azure DevOps wiki as SRE Agent knowledge source,Connect an Azure DevOps wiki to your Azure SRE Agent so the agent can reference team runbooks and procedures during investigations.,"In this tutorial, you connect an Azure DevOps wiki as a knowledge source for your Azure SRE Agent. After you complete these steps, your agent can search your team's wiki for runbooks and procedures when it answers questions during investigations. In this tutorial, you learn how to: Estimated time: 10 minutes",2026-03-10T04:29:00.000Z,tutorial,integrations,0.75,True,"Connecting a DevOps wiki as a knowledge source involves specific connector settings, permissions, and indexing behavior unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connect-pagerduty,Connect to PagerDuty,Tutorial: Connect to PagerDuty in Azure SRE Agent,Configure PagerDuty integration for Azure SRE Agent,Integrate your agent with PagerDuty to diagnose and respond to incidents automatically.,"In this tutorial, you connect your PagerDuty account to Azure SRE Agent so the agent can receive, investigate, and respond to incidents automatically.",2026-03-10T04:29:00.000Z,tutorial,integrations,0.7,True,"Product-specific integration tutorial for connecting PagerDuty so the agent can receive and respond to incidents. Likely includes connector settings, authentication details, and required configuration parameters unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connect-servicenow,Connect to ServiceNow,Tutorial: Connect to ServiceNow in Azure SRE Agent,Connect ServiceNow to Azure SRE Agent securely,Configure ServiceNow as your incident platform using basic authentication or OAuth 2.0 for automated incident management.,"In this tutorial, you connect your ServiceNow instance to Azure SRE Agent so the agent can receive, investigate, and update incidents automatically. You can choose between OAuth 2.0 (recommended for production) or basic authentication. Tip What you accomplish in this tutorial: Estimated time: 15 minutes",2026-03-10T04:29:00.000Z,tutorial,integrations,0.8,True,"Describes configuring ServiceNow as an incident platform using basic auth or OAuth 2.0. This typically includes endpoint URLs, auth parameters, and configuration options specific to this product integration.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connect-source-code,Step 3: Connect source code,Step 3: Connect Source Code to Azure SRE Agent,,Connect your GitHub repository so your agent can perform root cause analysis and correlate production issues to specific code changes.,"Estimated time: 10 minutes Connect your GitHub repository so your agent can perform root cause analysis, correlating production problems to specific code.",2026-03-10T04:29:00.000Z,tutorial,,0.2,False,Tutorial-style connection to GitHub; summary does not show detailed API parameters or constraints.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/connectors,Connectors,Connectors in Azure SRE Agent,,"Extend your agent's capabilities to external data sources, collaboration tools, and custom APIs using connectors.","Your agent comes with built-in access to Azure services. It can query Azure Monitor, Application Insights, Log Analytics, and Azure Resource Graph out of the box. Connectors extend that reach to external systems: your Kusto clusters, source code repositories, collaboration tools, and custom APIs. Note Connectors vs. incident platforms Connectorsgive your agent access to data and actions, such as querying logs, sending notifications, and reading code.Incident platformsare a separate concept: they",2026-03-10T04:29:00.000Z,conceptual,,0.4,False,"Conceptual overview of connectors; no explicit indication of parameter tables, limits, or SDK details.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/create-agent,Step 1: Create agent,Step 1: Create Your Agent in Azure SRE Agent,,Deploy an Azure SRE Agent and grant it access to your Azure resources.,Estimated time: 5 minutes Deploy your agent and grant it access to your Azure resources.,2026-03-10T04:29:00.000Z,tutorial,,0.3,False,"Step-by-step deployment/creation tutorial; no indication of tier matrices, constraints, or detailed config tables.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/create-kusto-tool,Create a Kusto tool,Tutorial: Create a Kusto Tool in Azure SRE Agent,Create parameterized Kusto tools for Azure SRE Agent,Build a reusable Kusto query tool for your Azure SRE Agent using the portal UI to run deterministic KQL queries.,"In this tutorial, you create a parameterized Kusto tool that runs exact KQL queries with deterministic, repeatable results. When users ask questions like ""show me errors from the last 7 days,"" the agent substitutes the parameter and runs your exact query against your Azure Data Explorer database. In this tutorial, you learn how to: Estimated time: 15 minutes",2026-03-10T04:29:00.000Z,tutorial,integrations,0.8,True,"Building a reusable Kusto tool with parameters and deterministic KQL execution implies specific tool configuration schema, parameter definitions, and binding behavior unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/create-python-tool,Create a Python tool,Tutorial: Create a Python Tool in Azure SRE Agent,Create and deploy a Python tool for SRE Agent,Build an SLA calculator tool for your Azure SRE Agent using AI-generated Python code.,"In this tutorial, you build a working Python tool that calculates SLA compliance for your Azure SRE Agent. You describe the tool's purpose in plain English, let AI generate the code, test the result, and deploy the tool for your agent to use. In this tutorial, you learn how to: Estimated time: 10 minutes",2026-03-10T04:29:00.000Z,tutorial,integrations,0.65,True,"Building a Python tool with AI-generated code and deploying it as an agent tool suggests product-specific tool schema, parameters, and deployment patterns, which are integration/coding details beyond generic Python knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/create-scheduled-task,Create scheduled tasks,Tutorial: Create and Edit Scheduled Tasks in Azure SRE Agent,,Set up a recurring automated task and learn how to modify it.,"In this tutorial, you set up your agent to run tasks automatically on a schedule, then modify them as your needs change. Estimated time: 5 minutes In this tutorial, you:",2026-03-10T04:29:00.000Z,tutorial,,0.25,False,Tutorial for creating and editing scheduled tasks; likely focuses on UI workflow rather than detailed configuration matrices or limits.,unchanged
