url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/sentinel/add-advanced-conditions-to-automation-rules,Add advanced conditions to automation rules,Add advanced conditions to Microsoft Sentinel automation rules,Add advanced OR condition groups to Sentinel automation rules,"This article explains how to add complex, advanced ""Or"" conditions to automation rules in Microsoft Sentinel, for more effective triage of incidents.","This article explains how to add advanced ""Or"" conditions to automation rules in Microsoft Sentinel, for more effective triage of incidents. Add ""Or"" conditions in the form ofcondition groupsin the Conditions section of your automation rule. Condition groups can contain two levels of conditions: Simple: At least two conditions, each separated by anORoperator: Compound: More than two conditions, with at least two conditions on at least one side of anORoperator: You can see that this capability af",2025-04-24T22:03:00.000Z,how-to,configuration,0.8,True,"Explains advanced condition groups and OR logic in automation rules, including structure of simple vs compound conditions—detailed, product-specific configuration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/sentinel/add-entity-to-threat-intelligence,Add entity to threat indicators,Add entities to threat intelligence - Microsoft Sentinel,,Learn how to add a malicious entity discovered in an incident investigation to your threat intelligence in Microsoft Sentinel.,"During an investigation, you examine entities and their context as an important part of understanding the scope and nature of an incident. When you discover an entity as a malicious domain name, URL, file, or IP address in the incident, it should be labeled and tracked as an indicator of compromise (IOC) in your threat intelligence. For example, you might discover an IP address that performs port scans across your network or functions as a command and control node by sending and/or receiving tra",2024-09-10T22:03:00.000Z,how-to,,0.4,False,"Describes adding entities discovered during investigations as IOCs; likely a procedural UI guide without deep config tables, limits, or error-code troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/sentinel/ama-migrate,AMA migration for Microsoft Sentinel,Migrate to the Azure Monitor Agent (AMA) from the Log Analytics agent (MMA/OMS) for Microsoft Sentinel,Plan and execute migration from MMA to AMA for Sentinel,"Learn about migrating from the Log Analytics agent (MMA/OMS) to the Azure Monitor Agent (AMA), when working with Microsoft Sentinel.","This article describes the migration process to the Azure Monitor Agent (AMA) when you have an existing, legacyLog Analytics Agent (MMA/OMS), and are working with Microsoft Sentinel. The Log Analytics agent isretired as of 31 August, 2024. If you are using the Log Analytics agent in your Microsoft Sentinel deployment, we recommend that you migrate to the AMA.",2024-10-07T17:05:00.000Z,reference,decision-making,0.7,True,"Migration article between agents; usually includes decision guidance, compatibility notes, and stepwise migration considerations specific to Sentinel deployments.",unchanged
https://learn.microsoft.com/en-us/azure/sentinel/anomalies-reference,Anomalies reference,Anomalies detected by the Microsoft Sentinel machine learning engine,,Learn about the anomalies detected by Microsoft Sentinel's machine learning engines.,"Microsoft Sentinel detects anomalies by analyzing the behavior of users in an environment over a period of time and constructing a baseline of legitimate activity. Once the baseline is established, any activity outside the normal parameters is considered anomalous and therefore suspicious. Microsoft Sentinel uses two models to create baselines and detect anomalies. This article lists the anomalies that Microsoft Sentinel detects using various machine learning models. In theAnomaliestable: Note T",2026-03-02T12:12:00.000Z,reference,,0.3,False,"The page lists types of anomalies detected by Microsoft Sentinel's ML engine and explains baseline/anomaly concepts, but there is no indication of numeric limits, configuration tables, error codes, or decision matrices. It appears to be descriptive/reference content about anomaly categories rather than detailed configuration, troubleshooting, or quantified guidance.",unchanged
https://learn.microsoft.com/en-us/azure/sentinel/api-dcr-reference,Sample API requests for creating Data Collection Rules (DCRs),Microsoft Sentinel API request examples for creating Data Collection Rules (DCRs),Create Sentinel Data Collection Rules via API examples,"See samples of API requests for creating Data Collection Rules and their associations, for use with the Azure Monitor Agent.",This article presents some examples of API requests and responses for creating Data Collection Rules (DCRs) and DCR Associations (DCRAs) for use with the Azure Monitor Agent (AMA).,2024-08-26T17:04:00.000Z,reference,integrations,0.8,True,Provides concrete API request/response samples for creating DCRs and DCRAs; includes specific payload structures and parameters for Sentinel/AMA integration.,unchanged
https://learn.microsoft.com/en-us/azure/sentinel/audit-sentinel-data,Audit Microsoft Sentinel with Azure Activity Logs,Audit Microsoft Sentinel queries and activities,Audit Microsoft Sentinel queries and user activities,This article describes how to audit queries and activities performed in Microsoft Sentinel.,"This article describes how you can view audit data for queries run and activities performed in your Microsoft Sentinel workspace, such as for internal and external compliance requirements in your Security Operations (SOC) workspace. Microsoft Sentinel provides access to: TheAzureActivitytable, which provides details about all actions taken in Microsoft Sentinel, such as editing alert rules. TheAzureActivitytable doesn't log specific query data. For more information, seeAuditing with Azure Activi",2024-11-12T08:00:00.000Z,how-to,security,0.7,True,Explains how to use AzureActivity and other tables to audit Sentinel operations; includes specific table names and audit patterns for compliance.,unchanged
https://learn.microsoft.com/en-us/azure/sentinel/audit-table-reference,SentinelAudit table reference,Microsoft Sentinel audit tables reference,Use Microsoft Sentinel audit tables for monitoring,"Learn about the fields in the SentinelAudit tables, used for audit monitoring and analysis.","This article describes the fields in the SentinelAudit tables, which are used for auditing user activity in Microsoft Sentinel resources. With the Microsoft Sentinel audit feature, you can keep tabs on the actions taken in your SIEM and get information on any changes made to your environment and the users that made those changes. Learn how toquery and use the audit tablefor deeper monitoring and visibility of actions in your environment. Microsoft Sentinel's audit feature currently covers only t",2025-08-25T17:10:00.000Z,reference,configuration,0.9,True,Reference for SentinelAudit tables with field definitions for auditing; table schema and field semantics are detailed configuration/reference information unique to Sentinel.,unchanged
https://learn.microsoft.com/en-us/azure/sentinel/audit-track-tasks,Audit and track changes to incident tasks,Audit and track changes to incident tasks in Microsoft Sentinel in the Azure portal,Audit and track Sentinel incident task changes,"This article explains how you, as a SOC manager, can audit the history of Microsoft Sentinel incident tasks, and track changes to them, in order to gauge your task assignments and their contribution t","Incident tasksensure comprehensive and uniform treatment of incidents across all SOC personnel. Task lists are typically defined according to determinations made by senior analysts or SOC managers, and put into practice using automation rules or playbooks. Your analysts can see the list of tasks they need to perform for a particular incident on the incident details page, and mark them complete as they go. Analysts can also create their own tasks on the spot, manually, right from within the incid",2025-01-15T18:04:00.000Z,how-to,best-practices,0.6,True,"Describes how SOC managers audit and track task history to measure SOC efficiency, a Sentinel-specific operational practice rather than generic advice.",unchanged
https://learn.microsoft.com/en-us/azure/sentinel/automate-incident-handling-with-automation-rules,Automation rules,Automate threat response in Microsoft Sentinel with automation rules,Implement Sentinel automation rules for SOAR operations,"This article explains what Microsoft Sentinel automation rules are, and how to use them to implement your Security Orchestration, Automation and Response (SOAR) operations. Automation rules increase y","This article explains what Microsoft Sentinel automation rules are, and how to use them to implement your Security Orchestration, Automation and Response (SOAR) operations. Automation rules increase your SOC's effectiveness and save you time and resources. Important AfterMarch 31, 2027, Microsoft Sentinel will no longer be supported in the Azure portal and will be available only in the Microsoft Defender portal. All customers using Microsoft Sentinel in the Azure portal will beredirected to the ",2024-10-16T08:00:00.000Z,concept-article,best-practices,0.7,True,"Explains what automation rules are and how to use them to implement SOAR, providing concrete Sentinel-specific guidance on structuring automated responses.",unchanged
https://learn.microsoft.com/en-us/azure/sentinel/automation-rule-reference,Automation rules reference,Microsoft Sentinel automation rules reference,Configure Microsoft Sentinel automation rules and conditions,This article displays the supported properties and entities in Microsoft Sentinel automation rules.,"This article contains reference information about the configuration of automation rules and the supported conditions and properties. To learn more about automation rules, seeAutomate threat response in Microsoft Sentinel with automation rules. For instructions on creating, managing, and using automation rules, seeCreate and use Microsoft Sentinel automation rules to manage response.",2024-09-09T11:20:00.000Z,reference,configuration,0.8,True,"Reference for automation rule configuration, supported properties, and conditions; includes specific field names and allowed values, which are configuration details.",unchanged
