url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/service-fabric/backup-explorer,View and edit a Reliable Collections backup offline,Read and update a Reliable Collections backup locally - Azure Service Fabric,Use Service Fabric Backup Explorer on local backups,Use Backup Explorer in Azure Service Fabric to read and update a local Reliable Collections backup.,"Azure Service Fabric Backup Explorer helps with data correction if data is corrupted in Service Fabric Reliable Collections. The current state of data can be corrupted by any bug that's introduced in an application or by any wrong entries made in a live cluster. With the help of Backup Explorer, you can do the following tasks: Note Service Fabric Backup Explorer currently supports only viewing and editing Reliable Collections in the backup.",2024-08-22T17:37:00.000Z,concept-article,configuration,0.7,True,How-to article for Backup Explorer with product-specific operations and options for reading/updating Reliable Collections backups; includes concrete tool behavior and constraints that are not generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cloud-services-migration-decision-matrix,Cloud Services migration decision matrix,Azure Cloud Services migration decision matrix - Azure Service Fabric,Use decision matrix for Cloud Services migration,This article provides a decision matrix to help evaluate migration options for an Azure solution currently built on Cloud Services.,This article provides a decision matrix to help evaluate migration options for an Azure solution currently built on Cloud Services. The matrix compares various Azure platform technologies to help guide your rearchitecting decisions.,2025-07-03T17:04:00.000Z,how-to,decision-making,0.86,True,"Explicitly a decision matrix comparing Azure platform technologies for migrating from Cloud Services. Contains structured comparison criteria to guide rearchitecting choices, which is product-specific decision-making guidance.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cloud-services-to-service-fabric-migration-guide,Migration guide,Migrate from Azure Cloud Services to Service Fabric - Azure Service Fabric,Migrate Cloud Services apps to Service Fabric,This guide provides detailed steps and best practices for migrating applications from Azure Cloud Services to Azure Service Fabric.,"This guide provides detailed steps and best practices for migrating applications from Azure Cloud Services to Azure Service Fabric. Throughout this guide, we recommend usingService Fabric Managed Clustersas they provide simplified cluster management, enhanced security, and automated patching. You should review thedecision matrix for migrating from Cloud Servicesto make sure you're choosing the right Azure services from your architecture.",2025-09-29T08:00:00.000Z,how-to,best-practices,0.74,True,"Described as a detailed migration guide with best practices and recommendations (for example, using Service Fabric Managed Clusters). Contains product-specific migration patterns and gotchas beyond generic guidance.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cluster-resource-manager-subclustering,Subclustering,Balancing of subclustered metrics - Azure Service Fabric,Handle subclustered metrics balancing in Service Fabric,The effect of placement constraints on balancing and how to handle it,,2024-08-22T17:37:00.000Z,concept-article,architecture-patterns,0.65,True,"Focuses on how placement constraints create subclusters and affect balancing, with guidance on handling them; a specialized Service Fabric balancing pattern.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cluster-security-certificate-management,Certificate management in Service Fabric,Manage certificates in a Service Fabric cluster - Azure Service Fabric,Manage X.509 certificates for Service Fabric clusters,Learn about managing certificates in a Service Fabric cluster that's secured with X.509 certificates.,This article addresses the management aspects of certificates that are used to secure communication in Azure Service Fabric clusters. It complements the introduction toService Fabric cluster securityand the explainer onX.509 certificate-based authentication in Service Fabric.,2024-08-22T17:37:00.000Z,concept-article,security,0.8,True,Certificate management guidance for Service Fabric clusters; includes platform-specific procedures and configuration details for certificate rotation and usage.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cluster-security-certificates,Certificate-based authentication in Service Fabric,X.509 Certificate-based Authentication in a Service Fabric Cluster - Azure Service Fabric,Configure X.509 certificate authentication in Service Fabric,"Learn about certificate-based authentication in Service Fabric clusters, and how to detect, mitigate and fix certificate-related problems.","This article complements the introduction toService Fabric cluster security, and goes into the details of certificate-based authentication in Service Fabric clusters. We assume the reader is familiar with fundamental security concepts, and also with the controls that Service Fabric exposes to control the security of a cluster. Topics covered under this title:",2024-08-22T17:37:00.000Z,concept-article,security,0.85,True,Deep dive into certificate-based authentication with detection and mitigation of certificate issues; contains product-specific security controls and behaviors.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/concepts-managed-identity,Managed Identity,Managed identities for Azure - Azure Service Fabric,Use managed identities with Azure Service Fabric,Learn about using Managed identities for Azure with Service Fabric.,A common challenge when building cloud applications is how to securely manage the credentials in your code for authenticating to various services without saving them locally on a developer workstation or in source control.Managed identities for Azuresolve this problem for all your resources in Microsoft Entra ID by providing them with automatically managed identities within Microsoft Entra ID. You can use a service's identity to authenticate to any service that supports Microsoft Entra authentic,2024-08-22T17:37:00.000Z,concept-article,security,0.7,True,Service-Fabric-specific guidance on using managed identities; includes product-specific security patterns and configuration context for Entra-based auth.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/configure-container-repository-credentials,Configure container repository credentials,Azure Service Fabric - Configure container repository credentials - Azure Service Fabric,Configure container registry credentials for Service Fabric,Configure repository credentials to download images from container registry,"Configure container registry authentication by addingRepositoryCredentialsto theContainerHostPoliciessection of your application manifest. Add the account and password for your container registry (myregistry.azurecr.ioin the example below), which allows the service to download the container image from the repository. It is recommended that you encrypt the repository password by using an encipherment certificate that's deployed to all nodes of the cluster. When Service Fabric deploys the service ",2024-08-22T17:37:00.000Z,how-to,security,0.8,True,"Shows specific manifest elements (RepositoryCredentials, ContainerHostPolicies) and recommends encryption with certificates; product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/configure-existing-cluster-enable-managed-identity-token-service,Configure existing cluster with managed identity,Configure managed identity support in an existing Service Fabric cluster - Azure Service Fabric,Enable managed identity token service on existing Service Fabric clusters,Here's how to enable managed identities support in an existing Azure Service Fabric cluster,"To useManaged identities for Azure resourcesin your Service Fabric applications, first enable theManaged Identity Token Serviceon the cluster. This service is responsible for the authentication of Service Fabric applications using their managed identities, and for obtaining access tokens on their behalf. Once the service is enabled, you can see it in Service Fabric Explorer under theSystemsection in the left pane, running under the namefabric:/System/ManagedIdentityTokenService. Note Service Fab",2024-08-22T17:37:00.000Z,how-to,security,0.84,True,"Explains how to enable the Managed Identity Token Service, where it appears in Service Fabric Explorer, and how it authenticates apps—product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/configure-new-azure-service-fabric-enable-managed-identity,Configure new Azure Service Fabric cluster with managed identity,Configure managed identity support for a new Service Fabric cluster - Azure Service Fabric,Enable managed identity support for new Service Fabric clusters,Here's how to enable managed identities support in a new Azure Service Fabric cluster,"To useManaged identities for Azure resourcesin your Service Fabric applications, first enable theManaged Identity Token Serviceon the cluster. This service is responsible for the authentication of Service Fabric applications using their managed identities, and for obtaining access tokens on their behalf. Once the service is enabled, you can see it in Service Fabric Explorer under theSystemsection in the left pane, running under the namefabric:/System/ManagedIdentityTokenServicenext to other syst",2024-08-22T17:37:00.000Z,how-to,security,0.84,True,"Covers enabling the Managed Identity Token Service during new cluster creation, including Service Fabric–specific configuration and behavior.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/container-image-management,Container image management,Azure Service Fabric container image management - Azure Service Fabric,Configure container image management and cleanup in Service Fabric,How to use container image management in a service fabric cluster.,"The activation path during Service Fabric containers deployment, handles the downloading of the container images to the VM on which the containers are running. Once the containers are removed from the cluster and their application types are unregistered, there's a cleanup cycle that deletes the container images. This container image cleanup works only if the container image was hard coded in the service manifest. For existing Service Fabric runtime versions, the configurations supporting the cle",2024-08-22T17:37:00.000Z,how-to,configuration,0.8,True,"Explains container image download and cleanup behavior, including configuration options and constraints (for example, hard-coded images in manifests) that are Service-Fabric-specific.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/create-load-balancer-rule,Open a port in the load balancer,Create an Azure Load Balancer rule for a cluster - Azure Service Fabric,Configure Azure Load Balancer rules for Service Fabric clusters,Configure an Azure Load Balancer to open ports for your Azure Service Fabric cluster.,"The load balancer deployed with your Azure Service Fabric cluster directs traffic to your app running on a node. If you change your app to use a different port, you must expose that port (or route a different port) in the Azure Load Balancer. When you deployed your Service Fabric cluster to Azure, a load balancer was automatically created for you. If you do not have a load balancer, seeConfigure an Internet-facing load balancer. Note We recommend that you use the Azure Az PowerShell module to in",2024-08-22T17:37:00.000Z,how-to,configuration,0.7,True,"Describes how to open/route ports via Azure Load Balancer for Service Fabric clusters, including cluster-specific endpoint and port configuration steps.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/faq-managed-cluster,Service Fabric managed clusters FAQ,Service Fabric managed clusters FAQ,,"Frequently asked questions about Service Fabric managed clusters, including capabilities, use cases, and common scenarios.",Here are some frequently asked questions (FAQs) and answers for Service Fabric managed clusters.,2024-10-21T22:02:00Z,faq,,0.4,False,"FAQ for managed clusters; summary suggests general capabilities and scenarios. Likely high-level Q&A without structured error codes, config tables, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-deploy-custom-image,Deploy custom image,Custom Image - Azure Service Fabric,Deploy custom Windows images to Service Fabric managed clusters,Learn how to deploy a custom image on Azure Service Fabric clusters (SFMC).,"Custom windows images are like marketplace images, but you create them yourself for each new node type within a cluster. Custom images can be used to bootstrap configurations such as preloading applications, application configurations, and other OS configurations. Once you create a custom windows image, you can then deploy to one or more new node types within a Service Fabric Managed Cluster. Customers can also use a marketplace image. Azure Marketplace images are clones of entire computer syste",2024-08-23T16:58:00.000Z,how-to,deployment,0.7,True,Explains how to create and deploy custom images for node types and bootstrap configurations; product-specific deployment pattern.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-deploy-service-fabric-application-system-assigned-managed-identity,How to deploy application with a system-assigned managed identity,Deploy a Service Fabric app with system-assigned MI - Azure Service Fabric,Deploy Service Fabric applications with system-assigned managed identity,This article shows you how to assign a system-assigned managed identity to an Azure Service Fabric application,"Note Enabling identity for an existing app which was initially deployed using Azure cmdlets is not supported. In order to access the managed identity feature for Azure Service Fabric applications, you must first enable the Managed Identity Token Service on the cluster. This service is responsible for the authentication of Service Fabric applications using their managed identities, and for obtaining access tokens on their behalf. Once the service is enabled, you can see it in Service Fabric Explo",2024-08-22T17:37:00.000Z,how-to,security,0.86,True,"Provides detailed ARM template and Service Fabric configuration for assigning system-assigned managed identities, plus constraints (e.g., not supported for apps deployed via cmdlets).",unchanged
