url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/service-health/access-service-advisories-api,How to access Security advisories through API endpoint,How to access Security advisories through API endpoint - Azure Service Health,Access Azure Security advisories via API endpoint,This article describes how to access Security advisories using API endpoint.,"Accessing data through an API endpoint lets you retrieve Security Advisory information programmatically instead of relying only on the Azure portal. Knowing this tool is useful if you want to automate monitoring, integrate advisory data into existing tools, or build custom workflows while still respecting role‑based access and security requirements. This article provides details and steps to guide you on the process. To access Security advisories through APIs, you must update your code to use th",2026-01-16T23:13:00.000Z,quickstart,integrations,0.7,True,"Explains how to programmatically access Security Advisory data via a specific API endpoint, including code updates and access requirements. This is a product-specific integration pattern for consuming the Service Health/Security advisories API.",unchanged
https://learn.microsoft.com/en-us/azure/service-health/admin-access-reference,Tenant Roles with Admin access,Roles with tenant admin access - Azure Service Health,Understand tenant admin roles for Service Health access,This article defines the tenant roles with access to tenant scope view.,,2025-11-14T08:00:00.000Z,reference,security,0.8,True,"Article explicitly defines tenant roles with tenant-scope access; likely lists specific Azure AD/Azure RBAC role names and their access scopes, which is product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/service-health/alerts-activity-log-service-notifications-arm,Create activity log alerts using ARM template,Receive Service health alerts on Azure service notifications using Resource Manager template - Azure Service Health,Define Service Health alerts using ARM templates,"Get notified via SMS, email, or webhook when Azure service occurs using a Resource Manager template.",This guide walks you through how to set up service health alerts for service health notifications by using an Azure Resource Manager (ARM) template. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment.,2026-03-17T08:00:00.000Z,quickstart,configuration,0.7,True,"ARM template guide for Service Health alerts; ARM JSON schema exposes specific resource types, properties, and allowed values for alert rules, which are detailed configuration parameters unique to this service.",updated
https://learn.microsoft.com/en-us/azure/service-health/alerts-activity-log-service-notifications-bicep,Create activity log alerts using Bicep,Receive activity log alerts on Azure service notifications using Bicep - Azure Service Health,Configure Service Health activity log alerts with Bicep,"Get notified via SMS, email, or webhook when Azure service occurs using a Bicep file.",,2026-03-17T08:00:00.000Z,quickstart,configuration,0.7,True,"Uses Bicep to define Service Health alert rules; Bicep templates typically include parameter names, allowed values, and default settings for alert configuration, which are product-specific configuration details.",updated
https://learn.microsoft.com/en-us/azure/service-health/alerts-activity-log-service-notifications-portal,How to create Service health alerts,Create Service Health alerts for Azure service notifications - Azure Service Health,,Learn how to use the Azure portal to set up Service Health alerts.,"Azure stores Service Health notifications in theAzure activity log, along with other types of events. To help you quickly find what matters, Azure provides a dedicated Service Health experience where you can easily view these notifications and set up alerts. This article provides a step-by-step guide on how to configure alerts for Azure Service Health notifications through the Azure portal. When your alerts are created, you can view them on the Health alerts page. For more information, seeResour",2026-03-17T08:00:00.000Z,quickstart,,0.3,False,"Step-by-step portal guide for creating Service Health alerts; does not expose detailed config parameter tables, limits, or error mappings beyond generic tutorial content.",updated
https://learn.microsoft.com/en-us/azure/service-health/azure-resource-graph-overview,Resource Graph tables overview,Azure Resource Graph Overview - Azure Service Health,Understand Azure Resource Graph tables for Service Health,Learn about the Azure Resource Graph table properties.,"Azure Resource Graph (ARG) provides a way for you to query Azure resources across your subscriptions using Kusto Query Language (KQL).
This article gives a detailed breakdown of the fields commonly found in ARG tables, especially the fields that are relevant to Azure Service Health and governance scenarios. Use the Service Health table to query: Use the Resource Health table to query: This table shows the core fields in the ARG table for the Service Health, Impacted Resources, and Resource Healt",2026-02-19T08:00:00.000Z,concept-article,configuration,0.65,True,"Described as a detailed breakdown of fields in Azure Resource Graph tables for Service Health, Impacted Resources, and Resource Health. Field-level table properties and schema details are configuration-like expert knowledge about table structure and usable fields.",unchanged
https://learn.microsoft.com/en-us/azure/service-health/azure-status-overview,Azure Status page overview,Azure Status Overview - Azure Service Health,,Learn how to use the Azure status page to get a global view into the health of Azure services.,"TheAzure statuspage provides you with a global view of the health of Azure services and regions, along with all service availability. Anyone can visit theAzure statuspage and view incidents related to all services that report service health and incidents with wide-ranging impact. However, we strongly encourage you to use the personalized experience inAzure Service Healthas it includes all the outages, upcoming planned maintenance activities, and service advisories.",2026-03-17T08:00:00.000Z,overview,,0.1,False,"High-level overview of Azure Status page; no numeric limits, configuration tables, error codes, or product-specific settings.",updated
https://learn.microsoft.com/en-us/azure/service-health/billing-elevated-access,Billing updates overview,Billing updates overview - Azure Service Health,,This article describes how to view and use in-portal Billing communications,,2026-03-11T08:00:00.000Z,overview,,0.2,False,"Billing updates overview for in-portal communications; appears informational/UX-focused without expert configuration, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/service-health/health-history-overview,Health history overview,Health history overview - Azure Service Health,Use Health history and RBAC for Azure Service Health,Overview of the features and information found on the Health history pane.,"The Health history pane in Azure Service Health is an archive of past health events (such as service issues, planned maintenance, health advisories, and security notices) that move out of the active view. Use this pane to review and manage the historical health events of your Azure resources. Users withowner,contributor, orreaderroles on the subscription can view information on the Health history pane. For sensitive events like security advisories, you should have Role-based Access Control (RBAC",2026-03-13T08:00:00.000Z,concept-article,security,0.65,True,"Describes Health history pane plus specific RBAC role requirements for viewing sensitive events like security advisories; includes product-specific role names and access behavior, fitting the security sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/service-health/impacted-resources-outage,Impacted Resources from Service issues,Impacted Resources from Service issues - Azure Service Health,,This article details where to find information from Azure Service Health about how Service issues might affect your resources.,"Azure Service Healthhelps customers monitor any health events that affect their subscriptions and tenants. In the Azure portal, theService issuespane withinService Healthdisplays any ongoing problems in Azure services that are affecting your resources. You can see when each issue began and which services and regions are impacted. This article explains what Service Health communicates and where to find information about your impacted resources. In the Azure portal, theImpacted Resourcestab underS",2026-03-11T08:00:00.000Z,concept-article,,0.2,False,"Explains where to see impacted resources during service issues; appears procedural/UX-focused without numeric limits, config parameters, or error codes.",unchanged
https://learn.microsoft.com/en-us/azure/service-health/impacted-resources-planned-maintenance,Impacted Resources from planned maintenance events,Impacted Resources from Azure planned maintenance events - Azure Service Health,,This article details where to find information from Azure Service Health about how Azure planned maintenance impacts your resources.,"To support of the experience of viewing Impacted Resources, Service Health has features to: This article details what is communicated to users and where they can view information about their impacted resources.",2026-03-11T08:00:00.000Z,concept-article,,0.2,False,Describes where to view impacted resources for planned maintenance; appears to be UI/experience explanation without expert-only numeric or config details.,unchanged
