url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/analytics/analytics-overview,Analytics - Overview,Analytics overview,,"Community Training provides out of the box rich analytics for tracking progress in learning, course completion and engagement and performance of learners.","Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk Community Training provides out-of-the-box rich analytics for tracking progress in learning, course completion, and engagement and p",2026-01-20T11:09:00.000Z,,,0.2,False,"High-level analytics overview; no numeric limits, config tables, or detailed patterns.",unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/analytics/in-built-reports/category-view-report,Category View,Category View,,"Similar to the overall summary view, Category View provides admin a quick glance at the learner enrollments, learner engagement and course completion for a particular category.","Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk Similar to the overall summary view, Category View provides admins a quick glance at learner registrations, and course completion fo",2026-01-20T11:09:00.000Z,,,0.2,False,"Category analytics view description; appears to be conceptual/UX guidance, not deep config or limits.",unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/analytics/in-built-reports/course-view-report,Course View,Course View,,"Similar to the Category View, Course View provides admin a quick glance at the learner enrollments, learner engagement and course completion for a particular course.","Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk Similar to the Category View, Course View provides admins a quick glance at learner enrollments, learner engagement, and course comp",2026-01-20T11:09:00.000Z,,,0.2,False,"Course analytics view description; no indication of numeric limits, error codes, or config matrices.",unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/analytics/in-built-reports/group-view-report,Group View,Group view,,Group admin are responsible to drive engagement and monitor course completion for learners on the ground.,"Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk Group admins are responsible for driving engagement and monitoring course completion for learners on the ground. To support Group ad",2026-01-20T11:09:00.000Z,,,0.2,False,Group view for admins; likely UI-level explanation without product-specific expert details.,unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/analytics/in-built-reports/learner-report-card-view,Learner Report Card View,Learner Report Card View,,Learner Report Card View provides administrators the ability to monitor and track each learner's progress and performance across all the enrolled courses.,"Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk The Learner Report Card View allows administrators to monitor and track each   learner’s progress and performance across all the enr",2026-01-20T11:09:00.000Z,,,0.2,False,"Learner report card view; appears to be conceptual tracking overview, not configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/analytics/in-built-reports/overall-summary,Overall Summary View,Overall summary view,,"Overall summary view is designed to give the admin a quick glance at the learner enrollments, learner engagement and course completion.","Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk The overall Summary View is designed to give the admin a quick glance at learner enrollments, learner engagement, and course complet",2026-01-20T11:09:00.000Z,,,0.2,False,Describes an analytics summary view conceptually; likely UI walkthrough without expert-only details.,unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/content-management/content-management-overview,Content Management - Overview,Content Management - Overview,,Community Training platform allows you to create and manage content.,"The Community Training platform allows you to create and manage content. You can add rich multi-media content and create a structured learning experience with non-graded assessments at statregic points with a final graded assessment at the end of the course. All the management functionalities are stacked together in a single panel under theContent Tab: from here administrators can create Categories, Courses and Learning Paths; upload and manage course materials; and configure course settings. In",2024-11-20T13:28:00.000Z,,,0.2,False,Content management overview; high-level description of capabilities without detailed parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/content-management/create-content/create-course-category/add-assessments-to-a-course,Add assessments to a course,Add non-graded assessment and graded assessment for a course,,Community Training platform allows trainers to add assessments as a way to evaluate learners on their knowledge and proficiency.,"Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk Community Training (CT) platform allows trainers to add assessments as a way to evaluate learners on their knowledge and proficiency",2024-11-20T13:28:00.000Z,,,0.35,False,"Assessment creation guidance; appears procedural without numeric thresholds, config tables, or error codes.",unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/content-management/create-content/create-course-category/add-feedback-form-for-a-course,Add feedback form for a course,Add feedback form for a course,,This document explains feedback form addition flow to a course.,"Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk A feedback form can be attached to a course to get active feedback on the courses. Learners can share course feedback during or afte",2026-01-20T11:09:00.000Z,,,0.25,False,"Feedback form addition flow; basic feature usage, no expert configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/industry/training-services/microsoft-community-training/ga-version/content-management/create-content/create-course-category/add-subtitles-or-captions-to-video-content,Add subtitles or captions to video content,Add subtitles or captions to video content,,"On the Community Training platform, you can add subtitles or captions to the video lessons  for a course to make your course content more accessible and create an inclusive learning environments.","Important Community Training will reach end of support on Tuesday, April 7, 2026. No new deployments are available at this time. Existing Community Training customers will continue to receive security updates and technical support through Tuesday, April 7, 2026 at 11:59 pm. For more information or support, please reach out to our team here:https://aka.ms/cthelpdesk On the Community Training platform, you can add subtitles or captions to the video lessons for a course to make your course content ",2026-01-20T11:09:00.000Z,,,0.35,False,Adding subtitles/captions; accessibility-focused how-to without detailed configuration parameters or limits.,unchanged
