url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/foundry-local/concepts/foundry-local-architecture,Foundry Local Architecture,Foundry Local architecture - Foundry Local,,Learn about the architecture and components of Foundry Local,"Important Foundry Local provides efficient, secure, and scalable AI model inference directly on your device. This article explains the core components of Foundry Local and how they work together to deliver AI capabilities.",2026-02-27T23:08:00.000Z,concept-article,,0.2,False,Architecture article is conceptual about components and how they work together; no indication of product-specific thresholds or decision matrices.,new
https://learn.microsoft.com/en-us/azure/foundry-local/get-started,Get Started,Get started with Foundry Local - Foundry Local,,"Learn how to install, configure, and run your first AI model with Foundry Local",Important This guide shows you how to set up Foundry Local to run AI models on your device.,2026-02-27T23:08:00.000Z,quickstart,,0.4,False,"Getting started guide likely shows basic install/run steps but not organized configuration tables, limits, or troubleshooting mappings.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-chat-application-with-open-web-ui,Integrate with Open WebUI,Integrate Open WebUI with Foundry Local - Foundry Local,Create a chat app using Open WebUI and Foundry Local,Learn how to create a chat application using Foundry Local and Open WebUI,"Important This article shows you how to create a chat application by using Foundry Local and Open WebUI. When you finish, you have a working chat interface that runs entirely on your local device.",2026-02-27T23:08:00.000Z,how-to,integrations,0.7,True,"Shows integration between Open WebUI and Foundry Local; will include concrete configuration values (URLs, ports, model identifiers) unique to this product.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-compile-hugging-face-models,Compile Hugging Face models to run on Foundry Local,Compile Hugging Face models to run on Foundry Local - Foundry Local,Compile Hugging Face models for Foundry Local with Olive,Learn how to compile and run Hugging Face models with Foundry Local.,"Important Foundry Local runs ONNX models on your device. UseOliveto convert and optimize models from Hugging Face (Safetensors or PyTorch) into ONNX so you can run them with Foundry Local. Important The Olive CLI and optimization settings change over time, and a single command line example might not work for every model, device, or execution provider. For the most reliable, up-to-date examples, start with theOlive Recipes repository. It includes a dedicated recipe formeta-llama/Llama-3.2-1B-Inst",2026-02-27T23:08:00.000Z,how-to,integrations,0.75,True,"Covers converting Hugging Face models via Olive to ONNX for Foundry Local; likely includes CLI commands, flags, and optimization settings specific to this toolchain.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-integrate-with-inference-sdks,Use chat completions via REST server,Integrate with inference SDKs - Foundry Local,Integrate Foundry Local with OpenAI-compatible inference SDKs,This article provides instructions on how to integrate Foundry Local with common Inferencing SDKs.,Important Foundry Local integrates with OpenAI-compatible SDKs and HTTP clients through a local REST server. This article shows you how to connect your app to local AI models by using popular SDKs.,2026-02-27T23:08:00.000Z,how-to,integrations,0.8,True,"Shows how to connect Foundry Local via OpenAI-compatible SDKs and HTTP clients; likely includes endpoint URLs, headers, and SDK parameter usage specific to this product.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-transcribe-audio,Transcribe recorded audio files,Transcribe audio files with Foundry Local - Foundry Local,Transcribe audio using Foundry Local transcription API,This article provides instructions on how to transcribe audio using Foundry Local.,"Important Use Foundry Local's native audio transcription API to convert a local audio file into text. In this article, you create a console application that downloads a Whisper model, loads it, and streams transcription output.",2026-03-11T05:31:00.000Z,how-to,integrations,0.7,True,"Uses native audio transcription API with a console app; will expose product-specific API calls, parameters, and streaming options that count as integration patterns.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-langchain-with-foundry-local,Integrate with LangChain,Build a translation app with LangChain - Foundry Local,Build a LangChain translation app with Foundry Local,Learn how to build a LangChain application using Foundry Local,Important This article shows you how to build a translation app by using the Foundry Local SDK andLangChain. Use a local model to translate text between languages.,2026-02-27T23:08:00.000Z,how-to,integrations,0.7,True,"Demonstrates LangChain integration with Foundry Local; likely includes configuration of LangChain LLM wrappers, endpoints, and parameters specific to Foundry Local.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-native-chat-completions,Use native chat completions API,Use native chat completions - Foundry Local,Use Foundry Local native chat completions API,This article provides instructions on how to use native chat completions API in Foundry Local.,"Important The native chat completions API enables you to run chat completions directly in-process, without starting a REST web server. In this article, you create a console app that downloads a local model, generates a streaming chat response, and then unloads the model. This article explains how to use the native chat completions API in the Foundry Local SDK.",2026-03-11T05:31:00.000Z,how-to,integrations,0.65,True,"How-to for native chat completions API in the SDK will include concrete API/SDK method signatures and parameters unique to Foundry Local, which qualify as integration & coding patterns.",new
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-tool-calling-with-foundry-local,Use tool calling,Use tool calling with Foundry Local - Foundry Local,Implement tool calling in Foundry Local applications,Learn how to write applications with Foundry Local that make use of tool calling,"Important Foundry Local can make use of tool calling, a technique where you prompt the model with definitions of available tools that together with a text prompt, allow the model to work out which tools should be called and with what input data. The application then calls those tools and adds the results to a subsequent model prompt to answer the user's query. The tools can perform functions that the model doesn't have access to, such as getting the current weather, or reading files on the local",2026-03-11T05:31:00.000Z,how-to,integrations,0.7,True,"Tool-calling how-to will include concrete request/response schemas, function/tool definition formats, and SDK usage patterns unique to Foundry Local.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-best-practice,Best practice and troubleshooting,Best practices and troubleshooting guide for Foundry Local - Foundry Local,Best practices and troubleshooting for Foundry Local deployments,Guidance on best practices and troubleshooting for Foundry Local.,Important This article lists best practices and troubleshooting tips for Foundry Local.,2026-02-27T23:08:00.000Z,troubleshooting,best-practices,0.85,True,"Explicitly a best practices and troubleshooting guide; will include product-specific DOs/DON’Ts, configuration recommendations, and symptom-to-solution mappings.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-catalog-api,Catalog API,Catalog API reference - Foundry Local,Use the Foundry Local Model Catalog API,Complete reference guide for the Foundry Local Model Catalog API.,Important Foundry Local lets you build and integrate your own catalog service. This article covers:,2026-02-27T23:08:00.000Z,reference,integrations,0.8,True,"Catalog API reference is an integration surface with specific endpoints, parameters, and behaviors for custom catalog services.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-cli,Foundry Local CLI,Foundry Local CLI Reference - Foundry Local,Configure and use the Foundry Local CLI commands,Complete reference guide for the Foundry Local command-line interface.,"Important This article provides a comprehensive reference for the Foundry Local command-line interface (CLI). The CLI organizes commands into logical categories to help you manage models, control the service, and maintain your local cache.",2026-02-27T23:08:00.000Z,concept-article,configuration,0.85,True,"CLI reference will list commands, flags, and options with allowed values and defaults, which are product-specific configuration parameters.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-rest,REST API,Foundry Local REST API Reference - Foundry Local,Call Foundry Local REST API via CLI-hosted server,Complete reference guide for the Foundry Local REST API.,Important Caution This API refers to the REST API available in the Foundry Local CLI. This API is under active development and may include breaking changes without notice. We strongly recommend monitoring the changelog before building production applications.,2026-02-27T23:08:00.000Z,reference,integrations,0.85,True,"REST API reference will include endpoints, request/response schemas, parameters, and constraints unique to Foundry Local’s REST surface.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-sdk-current,SDK guide,Foundry Local SDK Reference - Foundry Local,Use the current Foundry Local SDK for local AI,Reference guide for the Foundry Local SDK.,Important The Foundry Local SDK enables you to ship AI features in your applications that are capable of leveraging local AI models through a simple and intuitive API. The SDK abstracts away the complexities of managing AI models and provides a seamless experience for integrating local AI capabilities into your applications. This reference documents SDK implementations for JavaScript and C#. More languages will be added in the future. The SDK does not require the Foundry Local CLI to be installe,2026-03-11T05:31:00.000Z,concept-article,integrations,0.85,True,"SDK reference for JavaScript and C# documents classes, methods, and parameters; this is detailed API/SDK integration knowledge specific to Foundry Local.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-sdk-legacy,Legacy SDK,Foundry Local Legacy SDK Reference - Foundry Local,Reference for legacy Foundry Local SDK with CLI dependency,Reference guide for the Foundry Local Legacy SDK.,"Important Warning The Foundry Local SDK was updated to remove the dependency on the Foundry Local CLI and improve the API for better usability and performance. This reference documents the legacy version of the SDK that relies on the CLI, which is no longer recommended for new development. Refer to thecurrent SDK referencefor the latest version of the SDK.",2026-03-11T05:31:00.000Z,concept-article,integrations,0.8,True,"Legacy SDK reference similarly documents product-specific APIs and parameters, important for maintaining or integrating older applications.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-sdk-migration,Guidance for migrating from the legacy SDK,Foundry Local SDK Migration Guide - Foundry Local,Migrate from legacy to current Foundry Local SDK,Migration guide for updating from Foundry Local SDK legacy version to the current version.,Important This guide provides instructions for migrating your code from the legacy version of the Foundry Local SDK to the current version. The new SDK removes the dependency on the Foundry Local CLI and therefore allows you to ship your applications without requiring your users to install the CLI or set up a local Foundry environment. The new SDK also includes improvements to the API for better usability and performance.,2026-03-11T05:31:00.000Z,concept-article,decision-making,0.7,True,"Migration guide provides concrete guidance on when and how to move from legacy to current SDK, including API changes and trade-offs, which supports technology selection and upgrade decisions.",new
https://learn.microsoft.com/en-us/azure/foundry-local/reference/windows-server-frequently-asked-questions,Foundry Local on Windows Server 2025,Foundry Local on Windows Server 2025 - Frequently asked questions,FAQ for running Foundry Local on Windows Server 2025,"Foundry Local FAQ: Learn about its supported Windows Server versions, GPU compatibility, and how it handles inference requests in GPU-P environments.",Foundry Local on Windows Server 2025 lets you run selected Microsoft Foundry model capabilities entirely on a single Windows Server machine you operate.,2026-02-27T23:08:00.000Z,concept-article,troubleshooting,0.65,True,"FAQ about supported Windows Server versions, GPU compatibility, and GPU-P inference behavior will contain environment-specific constraints and likely error/behavior explanations useful for troubleshooting.",new
https://learn.microsoft.com/en-us/azure/foundry-local/what-is-foundry-local,What is Foundry Local (preview)?,What is Foundry Local? - Foundry Local,,"Foundry Local is an on-device AI inference solution that lets you run AI models locally through a CLI, SDK, or REST API.","Important Foundry Local is an on-device AI inference solution that you use to run AI models locally through a CLI, SDK, or REST API.",2026-02-27T23:08:00.000Z,overview,,0.2,False,"High-level product overview of Foundry Local; no detailed limits, configs, or error mappings indicated.",new
