url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/resiliency/backup-protection-policy,Create,Create protection policy for resources,Create backup and replication protection policies in Resiliency,"In this article, you learn how to create backup and replication policies to protect your resources.","This article describes how to create a backup and replication policy. The policy works for backups with Azure Backup and replication with Azure Site Recovery. A backup policy defines when backups are taken, and how long they're retained.Learn moreon the guidelines when creating a backup policy. Replication policy defines the settings for recovery point retention history and app-consistent snapshot frequency. By default,Site Recoverycreates a new replication policy with default settings of 24 hou",2025-11-19T08:00:00.000Z,how-to,configuration,0.75,True,"Defines backup and replication policies, including default settings (e.g., 24-hour retention, snapshot frequency); contains concrete policy parameters and default values.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/backup-vaults,Create,Create vaults to back up and replicate resources,Configure Recovery Services and Backup vaults in Azure,"In this article, you learn how to create Recovery Services vault (or Backup vault) that stores backups and replication data.","This article describes how to create Recovery Services vault (or Backup vault) that stores backups and replication data. Vault is required to configure protection with Azure Backup and Azure Site Recovery. ARecovery Servicesvault is a management entity that stores recovery points that are created over time, and it provides an interface to perform backup-related and replication related operations. For certain newer workloads, Azure Backup also usesBackup vaultto store recovery points and interfac",2025-11-19T08:00:00.000Z,how-to,configuration,0.7,True,"Describes creating Recovery Services/Backup vaults; such articles typically include vault configuration options (regions, redundancy, settings) that are product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/manage-protection-policy,Manage,Manage protection policy for resources,Manage backup and replication protection policies in Resiliency,"In this article, you learn how to manage backup and replication policies to protect your resources.","This article describes how to view your protection policies (backup and replication policies), and performs actions related to them using Resiliency in Azure. By using Resiliency, you can centrally manage the lifecycle of your replication and backup protection policies for both Azure Backup or Azure Site Recovery. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection.",2025-11-19T08:00:00.000Z,how-to,configuration,0.7,True,"Describes viewing and managing protection policies; likely includes specific policy fields and options, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/manage-vault,Manage,Manage vault lifecycle used for Azure Backup and Azure Site Recovery,Manage lifecycle of Azure Backup and Site Recovery vaults,"In this article, you learn how to manage the lifecycle of the vaults (Recovery Services and Backup vault) used for Azure Backup and/or Azure Site Recovery.","This article guides you on how to view your vaults and perform actions related to them using Resiliency in Azure. By using the Resiliency in Azure, you can centrally manage the lifecycle of your Recovery Services and Backup vaults for both Azure Backup and Azure Site Recovery. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensu",2025-11-19T08:00:00.000Z,how-to,configuration,0.7,True,"Guides managing vault lifecycle; likely details specific vault states, operations, and settings that constitute product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/quick-understand-protection-estate,Understand the protection estate,Quickstart - Understand the protection estate in Resiliency,,"Learn how to identify the resources with no protection and the ones, which are protected in Resiliency.","This quickstart describes how to identify the protected and unprotected resources/items in Resiliency. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. As a resiliency administrator, safeguarding your critical",2025-11-19T08:00:00.000Z,quickstart,,0.3,False,"Quickstart UI walkthrough to identify protected/unprotected resources; lacks detailed configuration tables, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/resiliency-overview,Overview,What is Resiliency?,,Resiliency is a cloud-native unified business continuity and disaster recovery (BCDR) management platform in Azure that enables you to manage your protection estate across solutions and environments.,"Resiliency in Azure is a cloud-native unified experience for resiliency posture management that enables you to manage your protection estate across solutions and environments. It provides a unified experience with consistent views, seamless navigation, and supporting information to provide a holistic view of your resiliency estate for better discoverability with the ability to do core activities. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone R",2025-11-19T08:00:00.000Z,overview,,0.2,False,"High-level overview of Resiliency in Azure; no detailed limits, configs, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/resiliency-support-matrix,Support matrices,Resiliency support matrix,Understand Resiliency support scenarios and limitations,Provides a summary of support settings and limitations for the Resiliency in Azure service.,"This article describes supportable scenarios and limitations. You can useResiliency, a cloud-native unified experience for resiliency management platform in Azure to manage your protection estate across solutions and environments. This feature helps enterprises to govern, monitor, operate, and analyze backups and replication at scale. This article summarizes the solutions and scenarios that Resiliency in Azure supports for each workload type. Important Azure Business Continuity Center is now Res",2025-11-19T08:00:00.000Z,reference,limits-quotas,0.8,True,Support matrix summarizing supported scenarios and limitations per workload; typically includes explicit support/unsupported combinations and constraints that function as product-specific limits.,unchanged
https://learn.microsoft.com/en-us/azure/resiliency/security-levels-concept,Security levels,Security levels in Resiliency,Use security levels in Resiliency for protection,An overview of the levels of Security available in Resiliency.,"This article describes the levels of Security available in Resiliency. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. Concerns about security issues, such as malware, ransomware, and intrusion, are increasin",2025-11-19T08:00:00.000Z,overview,security,0.7,True,"Concept article on security levels in Resiliency; likely defines specific security level names, behaviors, and requirements unique to the product.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-configure-protection-datasource,Configure protection for datasources,Tutorial - Configure protection for data sources,,"Learn how to configure protection for your datasources, which are currently not protected by any solution using Resiliency in Azure.","This tutorial guides you to configure protection for your data sources that are currently not protected by any solution using Resiliency in Azure. The key principle of data protection is to safeguard and make data or application available under all circumstances. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing res",2025-11-19T08:00:00.000Z,tutorial,,0.3,False,"Tutorial for configuring protection for data sources; appears as a guided workflow, not a reference of settings, limits, or best-practice gotchas.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-govern-monitor-compliance,Govern and view compliance,Tutorial - Govern and view compliance,,"This tutorial describes how to configure protection for your datasources, which are currently not protected by any solution using Resiliency in Azure.","This tutorial describes how to govern and view the compliance state for your Azure environment in Resiliency in Azure. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. Resiliency in Azure helps you govern your",2025-11-19T08:00:00.000Z,tutorial,,0.35,False,Govern and view compliance tutorial; likely uses built-in policies and views without exposing detailed policy parameter tables or decision matrices.,unchanged
