url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/authentication,Authenticate requests,Authentication in Foundry Tools - Foundry Tools,Configure authentication for Foundry Tools requests,Learn how to authenticate a request to Foundry Tools via Microsoft Entra ID or API key.,"Each request to Foundry Tools must include an authentication header. This header passes along a resource key or authentication token, which is used to validate your subscription for a service or group of services. In this article, you'll learn about three ways to authenticate a request and the requirements for each.",2025-11-18T15:37:00.000Z,how-to,security,0.85,True,"Authentication article will specify header formats, token scopes, and Entra ID vs API key usage with concrete parameter names.",new
https://learn.microsoft.com/en-us/azure/ai-services/autoscale,Increase rate limit,Autoscale Foundry Tools limits - Foundry Tools,Configure autoscale rate limits for Foundry Tools,Learn how to use the autoscale feature for Foundry Tools to dynamically adjust the rate limit of your service.,"This article provides guidance on how customers can access higher rate limits on certain Foundry Tools resources, including those Foundry Tools used withMicrosoft Foundry.",2026-01-15T18:10:00.000Z,how-to,limits-quotas,0.9,True,Article about autoscale limits and higher rate limits; such pages normally include concrete numeric rate limits and scaling thresholds by resource or tier.,new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-container-support,Foundry Tools containers overview,Use Azure containers on-premises - Foundry Tools,Deploy Foundry Tools using Azure AI containers,Learn how to use Docker containers to use Foundry Tools on-premises.,"Foundry Tools provide severalDocker containersthat let you use the same APIs that are available in Azure, on-premises. Using these containers gives you the flexibility to bring Foundry Tools closer to your data for compliance, security or other operational reasons. Container support is currently available for a subset of Foundry Tools. Containerization is an approach to software distribution in which an application or service, including its dependencies & configuration, is packaged together as a",2026-02-05T23:08:00.000Z,overview,deployment,0.65,True,On-premises container support pages typically list which services have containers and any deployment constraints or requirements.,new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-custom-subdomains,Custom subdomains for Foundry Tools,Custom subdomains - Foundry Tools,Configure custom subdomains for Foundry resources,"Learn how to add custom subdomain names for Foundry Tools resource by using the Azure portal, Azure Cloud Shell, or Azure CLI.","Since July 2019, new Foundry Tools resources use custom subdomain names when created through theAzure portal,Azure Cloud Shell, orAzure CLI. Unlike regional endpoints, which were common for all customers in a specific Azure region, custom subdomain names are unique to the resource. Custom subdomain names are required to enable features like Microsoft Entra ID for authentication.",2025-11-18T15:37:00.000Z,concept-article,configuration,0.7,True,"Custom subdomain configuration usually includes endpoint formats, naming rules, and specific parameters for portal/CLI commands.",new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-data-loss-prevention,Configure data loss prevention,Data loss prevention - Foundry Tools,Configure data loss prevention for Foundry Tools,Foundry Tools data loss prevention capabilities allow customers to configure the list of outbound URLs their Foundry Tools resources are allowed to access. This configuration creates another level of ,"Foundry Tools data loss prevention capabilities allow customers to configure the list of outbound URLs their Foundry Tools resources are allowed to access. This creates another level of control for customers to prevent data loss. In this article, we'll cover the steps required to enable the data loss prevention feature for Foundry Tools resources.",2025-11-18T15:37:00.000Z,how-to,security,0.75,True,DLP feature configuration includes outbound URL allowlist settings and possibly policy parameters specific to Foundry resources.,new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-environment-variables,Use environment variables,Use environment variables with Foundry Tools - Foundry Tools,Use environment variables for Foundry credentials,This guide shows you how to set and retrieve environment variables for your Foundry Tools credentials when you test applications.,"This guide shows you how to set and retrieve environment variables for your Foundry Tools credentials when you test applications. Important We recommend Microsoft Entra ID authentication withmanaged identities for Azure resourcesto avoid storing credentials with your applications that run in the cloud. Use API keys with caution. Don't include the API key directly in your code, and never post it publicly. If using API keys, store them securely in Azure Key Vault, rotate the keys regularly, and re",2025-10-02T08:00:00.000Z,how-to,configuration,0.8,True,"Shows exact environment variable names and usage patterns for Foundry Tools, which are configuration-specific details.",new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-limited-access,Limited Access features,Limited Access features for Foundry Tools - Foundry Tools,,Learn how Microsoft protects the rights and safety of individuals by using Limited Access features for Foundry Tools.,"Our vision is to empower developers and organizations to use AI to transform society in positive ways. We encourage responsible AI practices to protect the rights and safety of individuals. To help achieve this goal, Microsoft has implemented a Limited Access policy grounded in ourAI Principlesto support responsible deployment of Azure services.",2026-02-14T06:04:00.000Z,concept-article,,0.4,False,Limited Access policy overview; likely policy/process description without detailed technical configuration parameters.,new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-support-options,Support & help options,Foundry Tools support and help options - Foundry Tools,,Learn how to obtain help and support for questions and problems when you create applications that integrate with Foundry Tools.,"Here are the options for getting support, staying up to date, giving feedback, and reporting bugs for Foundry Tools.",2025-11-18T15:37:00.000Z,concept-article,,0.1,False,"Support and help options; meta information about getting assistance, not technical configuration or limits.",new
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-virtual-networks,Use virtual networks,Configure Virtual Networks for Foundry Tools - Foundry Tools,Secure Foundry resources with virtual network rules,Configure layered network security for your Foundry Tools resources.,"Foundry Tools provide a layered security model. This model enables you to secure your Foundry Tools accounts to a specific subset of networks​. When network rules are configured, only applications that request data over the specified set of networks can access the account. You can limit access to your resources withrequest filtering, which allows requests that originate only from specified IP addresses, IP ranges, or from a list of subnets inAzure Virtual Networks. An application that accesses a",2026-02-17T08:00:00.000Z,how-to,security,0.85,True,"VNet configuration article will specify network rule parameters, IP/subnet formats, and request filtering settings unique to the service.",new
https://learn.microsoft.com/en-us/azure/ai-services/commitment-tier,Use commitment tier pricing,Use Foundry Tools with commitment tier pricing - Foundry Tools,Choose and use Foundry commitment tier pricing,"Learn how to sign up for commitment tier pricing, which is different than Standard pricing.","Foundry Tools offers commitment tier pricing, allowing discounted rates compared to the Standard pricing model. With commitment tier pricing, you can commit to using the following Foundry Tools features for a fixed fee, enabling you to have a predictable total cost based on the needs of your workload: For more information, seeFoundry Tools pricing. Note You cannot use commitment tier pricing with a Foundry Tools or a Microsoft Foundry multi-service resource. You must use resources dedicated to s",2025-11-18T15:37:00.000Z,how-to,decision-making,0.7,True,"Covers commitment tier vs standard pricing; these pages usually include tier tables, usage thresholds, and selection guidance for workloads.",new
https://learn.microsoft.com/en-us/azure/ai-services/containers/azure-container-instance-recipe,Deploy to Azure Container Instance,Azure Container Instance recipe - Foundry Tools,Deploy Foundry containers to Azure Container Instances,Learn how to deploy Azure AI containers on Azure Container Instance,"With the following steps, scale Foundry Tools applications in the cloud easily with AzureContainer Instances. Containerization helps you focus on building your applications instead of managing the infrastructure. For more information on using containers, seefeatures and benefits.",2025-11-18T15:37:00.000Z,how-to,deployment,0.7,True,"ACI recipe typically includes container group settings, resource constraints, and platform-specific deployment parameters.",new
