url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://github.com/azure-samples/azure-cli-samples/tree/master/cosmosdb/cassandra,Manage using Azure CLI,azure-cli-samples/cosmosdb/cassandra at master · Azure-Samples/azure-cli-samples,Use Azure CLI samples for Cosmos DB Cassandra management,Contains Azure CLI scripts samples used for documentation at https://docs.microsoft.com - azure-cli-samples/cosmosdb/cassandra at master · Azure-Samples/azure-cli-samples,,,,integrations,0.7,True,"CLI samples repo contains specific az cosmosdb/cassandra commands and parameters for this API, representing product-specific integration and configuration knowledge.",unchanged
https://github.com/azure-samples/azure-cli-samples/tree/master/cosmosdb/table,Manage using Azure CLI,azure-cli-samples/cosmosdb/table at master · Azure-Samples/azure-cli-samples,,Contains Azure CLI scripts samples used for documentation at https://docs.microsoft.com - azure-cli-samples/cosmosdb/table at master · Azure-Samples/azure-cli-samples,,,,,0.4,False,GitHub repo of Azure CLI samples; not a Learn documentation article and mainly scripts rather than structured expert reference content.,unchanged
https://github.com/azure/azure-docs-powershell-samples/tree/master/cosmosdb/cassandra,Manage using PowerShell,azure-docs-powershell-samples/cosmosdb/cassandra at master · Azure/azure-docs-powershell-samples,Use PowerShell samples to manage Cosmos DB Cassandra resources,"Azure Powershell code samples, often used in docs.microsoft.com/Azure developer documentation - azure-docs-powershell-samples/cosmosdb/cassandra at master · Azure/azure-docs-powershell-samples",,,,integrations,0.7,True,"Repository of PowerShell samples includes concrete cmdlets, parameters, and scripts tailored to Cosmos DB Cassandra, which are integration/configuration patterns not generally known.",unchanged
https://github.com/azure/azure-docs-powershell-samples/tree/master/cosmosdb/table,Manage using PowerShell,azure-docs-powershell-samples/cosmosdb/table at master · Azure/azure-docs-powershell-samples,,"Azure Powershell code samples, often used in docs.microsoft.com/Azure developer documentation - azure-docs-powershell-samples/cosmosdb/table at master · Azure/azure-docs-powershell-samples",,,,,0.4,False,GitHub repo of PowerShell samples; not a Learn documentation page and primarily code snippets without structured config/limits reference context.,unchanged
https://learn.microsoft.com/en-us/azure/cosmos-db/access-key-vault-managed-identity,Access Azure Key Vault with managed identity,Use a Managed Identity to Access Azure Key Vault - Azure Cosmos DB,Use managed identity for Cosmos DB access to Key Vault,Use managed identity in Azure Cosmos DB to access Azure Key Vault.,"Azure Cosmos DB may need to read secret/key data from Azure Key Vault. For example, your Azure Cosmos DB may require a customer-managed key stored in Azure Key Vault. To do this, Azure Cosmos DB should be configured with a managed identity, and then an Azure Key Vault access policy should grant the managed identity access.",2025-12-19T18:19:00.000Z,how-to,security,0.75,True,Describes configuring managed identity and Key Vault access policies for Cosmos DB; includes specific role/permission settings and identity usage.,unchanged
https://learn.microsoft.com/en-us/azure/cosmos-db/access-previews,Access preview features,Request Access to Previews - Azure Cosmos DB,,Learn how to request access to Azure Cosmos DB previews,,2025-12-19T18:19:00.000Z,how-to,,0.2,False,Explains how to request preview access; largely procedural/administrative without deep technical configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/cosmos-db/ai-agents,Author AI agents,AI Agents and Solutions - Azure Cosmos DB,Implement AI agents and memory solutions with Cosmos DB,Learn about key concepts for agents and step through the implementation of an AI agent memory system.,"AI agents are designed to perform specific tasks, answer questions, and automate processes for users. These agents vary widely in complexity. They range from simple chatbots, to copilots, to advanced AI assistants in the form of digital or robotic systems that can run complex workflows autonomously. This article provides conceptual overviews and detailed implementation samples for AI agents.",2025-11-18T18:29:00.000Z,concept-article,architecture-patterns,0.6,True,Provides conceptual overviews plus detailed implementation samples for agents; likely includes concrete patterns for using Cosmos DB as agent memory and state.,unchanged
https://learn.microsoft.com/en-us/azure/cosmos-db/analytical-store-change-data-capture,Change Data Capture with Analytical Store,Change data capture in analytical store - Azure Cosmos DB,Consume change data capture feed from Cosmos DB analytical store,Change data capture (CDC) in Azure Cosmos DB analytical store allows you to efficiently consume a continuous and incremental feed of changed data.,"Important Synapse Link for Cosmos DB is no longer supported for new projects. Don't use this feature. Please use Azure Cosmos DB Mirroring for Microsoft Fabric which is now GA. Mirroring provides the same zero-ETL benefits and is fully integrated with Microsoft Fabric. Learn more atCosmos DB Mirroring Overview. Change data capture (CDC) inAzure Cosmos DB analytical storeallows you to efficiently consume a continuous and incremental feed of changed (inserted, updated, and deleted) data from analy",2025-12-12T23:10:00.000Z,concept-article,integrations,0.7,True,"Describes CDC in analytical store and how to consume a continuous incremental feed of changes, which is a concrete integration pattern with specific CDC parameters and behaviors.",unchanged
https://learn.microsoft.com/en-us/azure/cosmos-db/analytical-store-introduction,Analytical Store Introduction,What Is Analytical Store? - Azure Cosmos DB,Understand and use Cosmos DB analytical store,"Learn about Azure Cosmos DB transactional (row-based) and analytical(column-based) store. Benefits of analytical store, performance impact for large-scale workloads, and auto sync of data from transac","Important Synapse Link for Cosmos DB is no longer supported for new projects. Don't use this feature. Please use Azure Cosmos DB Mirroring for Microsoft Fabric which is now GA. Mirroring provides the same zero-ETL benefits and is fully integrated with Microsoft Fabric. Learn more atCosmos DB Mirroring Overview. Azure Cosmos DB analytical store is a fully isolated column store for enabling large-scale analytics against operational data in your Azure Cosmos DB, without any impact to your transacti",2025-12-05T08:00:00.000Z,concept-article,architecture-patterns,0.65,True,"Details the transactional vs analytical store design, performance impact, and auto-sync behavior, which are product-specific architectural characteristics and patterns for analytics workloads.",unchanged
https://learn.microsoft.com/en-us/azure/cosmos-db/analytical-store-private-endpoints,Configure Private Endpoints,Configure Private Endpoints for Analytical Store. - Azure Cosmos DB,Configure private endpoints for Cosmos DB analytical store,Learn how to set up managed private endpoints for Azure Cosmos DB analytical store to restrict network access.,"Important Synapse Link for Cosmos DB is no longer supported for new projects. Don't use this feature. Please use Azure Cosmos DB Mirroring for Microsoft Fabric which is now GA. Mirroring provides the same zero-ETL benefits and is fully integrated with Microsoft Fabric. Learn more atCosmos DB Mirroring Overview. In this article, you will learn how to set up managed private endpoints for Azure Cosmos DB analytical store. If you are using the transactional store, seePrivate endpoints for the transa",2025-12-05T08:00:00.000Z,how-to,security,0.7,True,"How-to for managed private endpoints; likely includes specific network configuration properties, endpoint types, and required settings for Cosmos DB analytical store, which are product-specific security configurations.",unchanged
