url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/nat-gateway/faq,FAQ,Azure NAT Gateway frequently asked questions,Azure NAT Gateway FAQ and service limits,Answers to common questions about using Azure NAT Gateway.,Here are some answers to common questions about using Azure NAT Gateway.,2026-01-21T06:14:00Z,faq,limits-quotas,0.7,True,"FAQ pages for Azure networking services typically include concrete limits (SNAT ports, IP counts, supported scenarios); these numeric constraints are expert knowledge not derivable from general training.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/manage-nat-gateway,Manage a Standard NAT gateway,Manage a NAT gateway - Azure NAT Gateway,Manage Azure NAT Gateway configuration and IPs,Learn how to create and remove a NAT gateway resource from a virtual network subnet. Add and remove public IP addresses and prefixes used for outbound connectivity.,Learn how to create and remove a NAT gateway resource from a virtual network subnet. A NAT gateway enables outbound connectivity for resources in an Azure Virtual Network. You can change the public IP addresses and public IP address prefixes associated with the NAT gateway changed after deployment. This article explains how to manage the following aspects of NAT gateway: Create a NAT gateway and associate it with an existing subnet. Remove a NAT gateway from an existing subnet and delete the NAT,2024-10-08T17:03:00.000Z,how-to,configuration,0.7,True,"Explains how to create/remove NAT gateway, associate subnets, and manage public IPs/prefixes; contains concrete configuration operations and parameters.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/manage-nat-gateway-v2,Manage a Standard V2 NAT gateway,Manage a Standard V2 NAT Gateway - Azure NAT Gateway,,Learn how to create and remove a NAT gateway v2 resource from a virtual network and virtual network subnet. Add and remove public IP addresses and prefixes used for outbound connectivity.,Learn how to create and remove a NAT gateway resource from a virtual network subnet. A NAT gateway enables outbound connectivity for resources in an Azure Virtual Network. You can change the public IP addresses and public IP address prefixes associated with the NAT gateway changed after deployment. This article explains how to manage the following aspects of NAT gateway: Create a NAT gateway and associate it with an existing subnet. Remove a NAT gateway from an existing subnet and delete the NAT,2026-03-09T17:11:00.000Z,how-to,,0.2,False,"Page appears to be a how-to guide for creating, associating, and deleting a NAT Gateway v2 and managing its public IPs. The summary does not indicate presence of numeric limits, configuration parameter tables, error-code-based troubleshooting, or decision matrices. It looks like procedural/tutorial content rather than expert reference material.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/monitor-nat-gateway-flow-logs,Monitor Standard V2 NAT gateway flow logs,Monitor with StandardV2 NAT Gateway Flow Logs - Azure NAT Gateway,Monitor and troubleshoot with NAT Gateway flow logs,"Learn how to set up, monitor, and troubleshoot with StandardV2 NAT Gateway Flow Logs.","In this article, you learn how to set up, monitor, and troubleshoot with Azure StandardV2 NAT Gateway flow logs. These logs can help you monitor and analyze the traffic flows going through your NAT gateway resource. The health event logs are provided through the Azure Monitor resource log category NatGatwayFlowlogsV1, which is enabled through Diagnostic Settings.",2026-01-22T06:12:00.000Z,how-to,troubleshooting,0.7,True,Shows how to use flow logs for monitoring and troubleshooting traffic; includes product-specific log categories and analysis patterns for diagnosing issues.,unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/monitor-nat-gateway-reference,Monitoring data reference,Monitoring data reference for Azure NAT Gateway,Reference for Azure NAT Gateway monitoring data,This article contains important reference material you need when you monitor Azure NAT Gateway by using Azure Monitor.,This article contains all the monitoring reference information for this service. SeeMonitor Azure NAT Gatewayfor details on the data you can collect for Azure NAT Gateway and how to use it.,2024-12-09T18:04:00.000Z,reference,configuration,0.7,True,"Monitoring data reference likely lists metric and log names, dimensions, and schemas; detailed configuration/reference information for monitoring NAT Gateway.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-design,NAT gateway design guidance,Design virtual networks with Azure NAT Gateway,Design virtual networks using Azure NAT Gateway,Learn about how to design virtual networks with Azure NAT Gateway.,Review this article to familiarize yourself with considerations for designing virtual networks with NAT gateway.,2025-11-18T17:01:00.000Z,concept-article,architecture-patterns,0.7,True,Covers design considerations for virtual networks with NAT Gateway; likely includes product-specific design patterns and when to use them.,unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-flow-logs,Manage Standard V2 NAT gateway flow logs,Manage StandardV2 NAT Gateway Flow Logs - Azure NAT Gateway,Enable and use StandardV2 NAT Gateway flow logs,Learn about StandardV2 NAT Gateway Flow Logs - what are flow logs and how it can be used.,"NAT Gateway Flow Logs provide IP information on the traffic flowing through your StandardV2 NAT gateway. Logs are captured through Azure Monitor resource log categoryNatGatewayFlowLogsV1, which you enable through Diagnostic Settings on your StandardV2 NAT gateway resource.",2026-01-22T06:12:00.000Z,how-to,configuration,0.65,True,Describes the NatGatewayFlowLogsV1 category and how to configure flow logs via diagnostic settings; product-specific logging configuration.,unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-resource,NAT gateway resource,Azure NAT Gateway resource,Configure Azure NAT Gateway resource components,Learn about the NAT gateway resource of the Azure NAT Gateway service.,"This article describes the key components of the NAT gateway resource that enable it to provide highly secure, scalable, and resilient outbound connectivity. NAT Gateway can be configured in your subscription through supported clients. These clients include Azure portal, Azure CLI, Azure PowerShell, Resource Manager templates, or appropriate alternatives.",2025-11-18T18:43:00.000Z,concept-article,configuration,0.65,True,Describes key components of the NAT gateway resource and how they are configured; likely includes resource properties and settings specific to NAT Gateway beyond generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-snat,SNAT with NAT gateway,Source Network Address Translation (SNAT) with Azure NAT Gateway,Optimize SNAT usage with Azure NAT Gateway,Learn about options and considerations for Source Network Address Translation (SNAT) with Azure NAT Gateway.,"Source Network Address Translation (SNAT) allows traffic from a private virtual network to connect to the internet while remaining fully private. SNAT rewrites the source IP and port of the originating packet to a public IP and port combination. Ports are used as unique identifiers to distinguish different connections from one another. The internet uses a five-tuple hash (protocol, source IP/port, destination IP/port) to provide this distinction. SNAT also allows multiple private instances withi",2024-04-29T08:00:00.000Z,concept-article,best-practices,0.7,True,"Discusses SNAT options and considerations, likely including port allocation behavior and guidance on efficient outbound connection design; product-specific best practices and gotchas.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-v2-migrate,Migrate NAT Gateway to Standard V2,Migrate Azure NAT Gateway from Standard to StandardV2 - Guidance,Migrate Azure NAT Gateway to StandardV2,Upgrade guidance for migrating Standard NAT Gateway to StandardV2 NAT Gateway.,"StandardV2 NAT Gateway offers enhanced data processing limits and high availability through zone redundancy. StandardV2 NAT Gateway is recommended for production workloads requiring resiliency to zone outages. In this article, we discuss guidance for how to migrate your subnets from Standard NAT gateway to StandardV2 NAT gateway. In place migration to StandardV2 NAT Gateway isn't available. Important Migration from Standard to StandardV2 NAT Gateway involvesdowntime and impact to existing connec",2026-01-22T06:12:00.000Z,concept-article,decision-making,0.75,True,"Provides migration guidance, including downtime impact and lack of in-place upgrade; this is SKU/upgrade decision and migration-path guidance.",unchanged
