url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/confidential-ledger/architecture,Architecture,Azure confidential ledger architecture,,Azure confidential ledger architecture,"The Azure confidential ledger, a REST API service, allows users to interact with the ledger through administrative and functional API calls.  When data is recorded to the ledger, it is sent to the permissioned blockchain nodes that are secure enclaved backed replicas. The replicas follow a consensus concept. A user can also retrieve receipts for the data that was committed to the ledger. There is also an optional consortium notion that will support multi-party collaboration in the future.",2025-11-17T23:03:00.000Z,overview,,0.4,False,"Architecture description is conceptual (REST API, blockchain replicas, consensus) without quantified thresholds or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/authentication-azure-ad,Authentication with Microsoft Entra ID,Microsoft Entra authentication with Azure confidential ledger,Configure Microsoft Entra authentication for Confidential Ledger,Microsoft Entra authentication with Azure confidential ledger,"The recommended way to access Azure confidential ledger is by authenticating to theMicrosoft Entra IDservice; doing so guarantees that Azure confidential ledger never gets the accessing principal's directory credentials. To do so, the client performs a two-steps process: Azure confidential ledger then executes the request on behalf of the security principal for which Microsoft Entra ID issued the access token. All authorization checks are performed using this identity. In most cases, the recomme",2025-04-14T08:00:00.000Z,overview,security,0.75,True,"Details a two-step Entra auth flow and recommended identity patterns specific to confidential ledger, including token usage and authorization behavior.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/create-blob-managed-app,Create a managed application to store blob digests,Create a Managed Application to Store Blob Digests,Integrate Blob Storage digests with Azure Confidential Ledger,Learn how to create a managed application that stores blob digests to Azure confidential ledger.,"You can use the Azure Blob Storage digest backed by the Azure confidential ledger managed application to help ensure that the blobs within a blob container are trusted and not tampered with. After the application is connected to a storage account, it tracks all blobs that are added to every container in the storage account in real time. It also calculates and stores the digests in confidential ledger. You can perform audits at any time to check the validity of the blobs and to ensure that the bl",2025-12-05T23:18:00.000Z,how-to,integrations,0.75,True,"Describes a managed application that tracks blobs and stores digests in the ledger, including product-specific configuration and integration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/create-client-certificate,Create a client certificate,Creating a Client Certificate with Microsoft Azure confidential ledger,Create and configure client certificates for Confidential Ledger,Creating a Client Certificate with Microsoft Azure confidential ledger,"Caution This article references CentOS, a Linux distribution that is End Of Life (EOL) status. Please consider your use and planning accordingly. For more information, see theCentOS End Of Life guidance. The Azure confidential ledger APIs require client certificate-based authentication. Only those certificates added to an allowlist during ledger creation or a ledger update can be used to call the confidential ledger Functional APIs. You need a certificate in PEM format. You can create more than ",2025-04-14T08:00:00.000Z,overview,security,0.75,True,"Details PEM certificate requirements, allowlisting behavior, and authentication constraints specific to confidential ledger APIs.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/create-power-automate-workflow,Data Ingress and Egress from Azure confidential ledger using Power Automate Connector,Data Ingress and Egress from Azure Confidential Ledger by Using a Power Automate Connector,Use Power Automate connector with Azure Confidential Ledger,Learn to ingress and egress data from Azure confidential ledger by using a Power Automate connector.,A Power Automate connector is now available for interacting with Azure confidential ledger. This article explains how to build a workflow that adds an entry into a confidential ledger instance and saves the transaction ID in Azure Cosmos DB.,2025-12-05T23:18:00.000Z,overview,integrations,0.75,True,"Shows how to configure a Power Automate connector and workflow with confidential ledger and Cosmos DB, including connector actions and parameters.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/data-organization,Data organization,Data Organization in Azure Confidential Ledger,Organize and query data in Azure Confidential Ledger,How to organize data in Azure Confidential Ledger.,"Data is structured within the Azure Confidential Ledger in two primary ways: Transaction ID, and Collection ID (or Subledger ID). Each write operation generates a unique transaction ID, which can be used to retrieve entries, obtain receipts, or perform other operations. Collection IDs are user-specified keys (optional) that help group or uniquely identify entries, allowing for more efficient data retrieval and management. This page shows examples demonstrating how to create ledger entries, retri",2025-07-08T05:13:00.000Z,conceptual,integrations,0.6,True,"Describes how to use transaction IDs and collection IDs with concrete API usage examples, which are product-specific data access patterns.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/data-residency,Data residency,Data residency for Azure Confidential Ledger,,Describes data residency posture for Azure Confidential Ledger.,This article describes the data residency and resiliency behavior for Azure Confidential Ledger.,2025-11-17T23:03:00.000Z,conceptual,,0.5,False,Data residency posture is largely policy/behavioral; summary doesn’t indicate detailed configuration or numeric limits.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/faq,FAQ,Frequently asked questions - Azure confidential ledger,,Get answers to frequently asked questions about Azure confidential ledger,This article answers frequently asked questions about Azure confidential ledger.,2025-11-17T23:03:00Z,faq,,0.4,False,FAQ likely mixes conceptual and basic usage answers; summary doesn’t show structured troubleshooting or configuration tables.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/manage-azure-ad-token-based-users,Manage Microsoft Entra token-based users,Manage Microsoft Entra token-based users in Azure confidential ledger,Manage Entra token-based users and roles in Confidential Ledger,Learn how to manage Microsoft Entra token-based users in Azure confidential ledger,"Microsoft Entra ID-based users are identified by their Microsoft Entra object ID. Users with Administrator privileges can manage users of the confidential ledger. Available roles are Reader (read-only), Contributor (read and write), and Administrator (read, write, and manage users).",2024-08-07T16:44:00.000Z,how-to,security,0.8,True,"Defines specific roles (Reader, Contributor, Administrator) and how they map to permissions in confidential ledger, which is product-specific RBAC configuration.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/manage-certificate-based-users,Manage certificate-based users,Manage certificate-based users in Azure confidential ledger,Manage certificate-based users and roles in Confidential Ledger,Learn how to manage certificate-based users in Azure confidential ledger,"For certificate based users, their user ID is the fingerprint of their PEM certificate. Users with Administrator privileges can manage users of the confidential ledger. Available roles are Reader (read-only), Contributor (read and write), and Administrator (read, write, and manage users). The following client libraries are available to manage users:",2024-08-07T16:44:00.000Z,how-to,security,0.8,True,"Describes certificate fingerprint-based identities and role assignments, which are product-specific security and access control mechanisms.",unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/managed-confidential-consortium-framework-migration,Migration from Managed CCF to Azure confidential ledger,Migrating from Azure Managed Confidential Consortium Framework to Microsoft Azure confidential ledger,Migrate from Managed CCF to Azure Confidential Ledger,This article explains the deprecation of Azure Managed Confidential Consortium Framework and provides guidance for migrating to Microsoft Azure confidential ledger. All previous Managed CCF documentat,"Azure Managed Confidential Consortium Framework (Managed CCF) is beingdeprecatedand will no longer receive updates or support. Note The Managed Confidential Consortium Framework documentation has been retired to theAzure archive. We recommend that customers migrate toMicrosoft Azure confidential ledger (ACL), a fully managed, highly secure ledger service built on trusted execution environments. Azure confidential ledger offers: Azure confidential ledger also supports server-side programming, suc",2025-08-13T17:16:00.000Z,overview,decision-making,0.7,True,Deprecation and migration guidance inherently compares Managed CCF and confidential ledger and provides recommendations for migration paths and scenarios.,unchanged
https://learn.microsoft.com/en-us/azure/confidential-ledger/overview,About Azure confidential ledger,Azure Confidential Ledger Overview,,"An overview of Azure confidential ledger, which is a highly secure service for managing sensitive data records with traceability, auditability, and integrity.","In the era of digital transformation, data integrity is paramount. As businesses increasingly rely on data-driven decisions, the accuracy and security of their data sources become critical. Azure confidential ledger is a highly secure immutable data store for managing sensitive data records. The service epitomizes our commitment to secure, reliable, and immutable data storage. Confidential ledger offers an auditable data store with unique data integrity advantages. These advantages include immut",2025-12-05T23:18:00.000Z,overview,,0.2,False,"High-level product overview without concrete limits, configs, or error details.",unchanged
