url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/asn-asset-filters,ASN asset filters,ASN asset filters - Defender ASN domain asset filters,Use ASN asset filters in Defender EASM inventory,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for ASN assets specifically, including operators and applicable field values.",These filters specifically apply to ASN assets. Use these filters when searching for a specific ASN or group of ASNs.,2023-04-17T23:20:00.000Z,how-to,configuration,0.8,True,"ASN asset filters article will specify ASN-related filter fields and operators, a product-specific configuration reference.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/contact-asset-filters,Contact asset filters,Contact asset filters - Defender EASM contact asset filters,Use contact asset filters in Defender EASM inventory,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for contact assets specifically, including operators and applicable field values.",These filters specifically apply to contact assets. Use these filters when searching for a specific contact.,2023-04-17T23:20:00.000Z,how-to,configuration,0.8,True,"Contact asset filters page describes specific filter fields and operators for contacts, which are configuration parameters unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/data-connections,Leveraging data connections,Defender EASM data connections,Configure Defender EASM data connections to Log Analytics and ADX,The data connector sends Defender EASM asset data to Log Analytics and Azure Data Explorer. You can export Defender EASM data to either tool.,This article discusses the data connections feature in Microsoft Defender External Attack Surface Management (Defender EASM).,2025-07-22T17:26:00.000Z,how-to,integrations,0.7,True,"Data connector configuration to Log Analytics and Azure Data Explorer usually includes connector names, parameters, and schema details that are product-specific integration settings.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/deploying-the-defender-easm-azure-resource,Deploying the Defender EASM Azure resource,Create a Defender EASM Azure resource,,This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal.,"This article explains how to create a Microsoft Defender External Attack Surface Management (Defender EASM) Azure resource by using the Azure portal. Users can begin their usage of Defender EASM with a 30-day free trial. Once the trial is nearing expiration, you will be notified via banners and push notifications. Creating the Defender EASM Azure resource involves two steps:",2023-10-11T22:21:00.000Z,quickstart,,0.4,False,"Step-by-step creation of a Defender EASM Azure resource and trial info; summary does not indicate deployment matrices, limits, or detailed config tables beyond standard portal steps.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/discovering-your-attack-surface,Discovering your attack surface,Discovering your attack surface,,"Microsoft has preemptively configured the attack surfaces of many organizations, mapping their initial attack surface by discovering infrastructure that’s connected to known assets.",,2023-04-17T23:20:00.000Z,tutorial,,0.25,False,"Describes preconfigured attack surfaces conceptually; no evidence of numeric limits, configuration parameters, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/domain-asset-filters,Domain asset filters,Domain asset filters - Defender EASM domain asset filters,Apply domain asset filters in Defender EASM inventory,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for domain assets specifically, including operators and applicable field values.",These filters specifically apply to domain assets. Use these filters when searching for a specific subset of domain assets.,2023-04-17T23:20:00.000Z,how-to,configuration,0.8,True,"Domain-specific filter article will list field names, operators, and valid values for domain assets, matching configuration-parameter style documentation.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/easm-copilot,Microsoft Security Copilot and Defender EASM,Microsoft Security Copilot in Defender EASM,,Learn how to use Microsoft Security Copilot to get information about your Microsoft Defender External Attack Surface Management (Defender EASM) data.,"Microsoft Defender External Attack Surface Management (Defender EASM) continuously discovers and maps your digital attack surface to provide an external view of your online infrastructure. This visibility helps security and IT teams identify unknowns, prioritize risk, eliminate threats, and extend vulnerability and exposure control beyond the firewall. Attack surface insights are generated by analyzing vulnerability and infrastructure data to showcase the key areas of concern for your organizati",2024-12-10T18:02:00.000Z,conceptual,,0.35,False,"Explains using Security Copilot with Defender EASM data at a high level; summary does not show concrete API parameters, config tables, or error codes.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/host-asset-filters,Host asset filters,Host asset filters - Defender EASM host asset filters,Apply host asset filters in Defender EASM inventory,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for host assets specifically, including operators and applicable field values.",These filters specifically apply to host assets. Use these filters when searching for a specific subset of host assets.,2023-08-02T11:22:00.000Z,how-to,configuration,0.8,True,"Host asset filters page focuses on filter fields and operators for hosts, which are product-specific configuration options.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/inventory-filters,Inventory filters overview,Inventory filters overview - Defender EASM inventory filters overview,Use Defender EASM inventory filters and saved queries,This article outlines the filter functionality available in Defender EASM to help you find specific subsets of inventory assets based on selected parameters.,This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management (Defender EASM). Filtering helps you find specific subsets of inventory assets based on selected parameters. This article outlines each filter and operator and provides guidance on input options that yield the best results. It also explains how to save queries for easy accessibility to the filtered results.,2023-07-11T22:03:00.000Z,how-to,configuration,0.8,True,"Outlines each filter and operator with guidance on input options; this implies tables of filter names, operators, and allowed values, which are concrete configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/external-attack-surface-management/ip-address-asset-filters,IP address asset filters,IP address asset filters - Defender EASM IP address asset filters,Use IP address asset filters in Defender EASM,"This article outlines the filter functionality available in Microsoft Defender External Attack Surface Management for IP address assets specifically, including operators and applicable field values.",These filters specifically apply to IP address assets. Use these filters when searching for a specific subset of IPs.,2023-07-19T17:27:00.000Z,how-to,configuration,0.8,True,"IP address asset filters article defines filter fields (IP ranges, status, etc.) and operators, which are product-specific configuration options.",unchanged
