url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/sap/automation/bash/advanced-state-management,Update the Terraform state file using shell scripts,advanced_state_management,Manage SAP Terraform state with advanced_state_management script,Updates the Terraform state file using a shell script,,2023-12-22T05:33:00.000Z,reference,configuration,0.75,True,"Advanced Terraform state management for SAP automation is configuration-focused and likely documents state file locations, backends, and script parameters unique to this framework.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/deploy-controlplane,Deploying the control plane using shell scripts,Deploy Control Plane,Bash script to deploy SAP automation control plane,"Deploys the control plane (deployer, SAP library) using a shell script.",,2023-09-20T21:53:00.000Z,reference,deployment,0.7,True,"Script-specific deployment of control plane (deployer, SAP library); clearly a deployment method unique to this framework.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/install-deployer,Bootstrapping the Deployer using shell scripts,install_deployer.sh,Bootstrap SAP deployer control plane with install_deployer.sh,Bootstrap a new deployer in the control plane using a shell script.,,2023-02-10T23:04:00.000Z,reference,deployment,0.7,True,"Describes a control-plane bootstrap script for SAP deployment automation. Such pages usually include product-specific parameters, prerequisites, and environment details for deploying the deployer, which are expert deployment patterns.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/install-library,Bootstrapping the Library using shell scripts,install_library.sh,Bootstrap SAP Library control plane with install_library.sh,Bootstrap a new SAP Library in the control plane using a shell script.,,2023-02-10T23:04:00.000Z,reference,deployment,0.7,True,"Covers a script that bootstraps the SAP Library in the control plane. These docs generally include specific script flags, Azure resource layout, and sequencing for deployment, which are specialized deployment details.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/install-workloadzone,Deploying the workload zone using shell scripts,install_workloadzone.sh,Bash script to deploy a new SAP workload zone,Deploy a new SAP Workload Zone using a shell script.,,2023-09-19T08:00:00.000Z,reference,deployment,0.7,True,install_workloadzone.sh is a deployment script for workload zones; contains product-specific deployment behavior and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/installer,Deploying the SAP system using shell scripts,installer.sh,Deploy SAP systems on Azure with installer.sh,Deploy a new SAP system using a shell script.,,2023-02-10T23:04:00.000Z,reference,deployment,0.7,True,"Script reference pages for SAP Deployment Automation Framework typically document script arguments, required environment variables, and Azure resource constraints specific to this tooling, which are not generic knowledge. This is deployment-focused automation for creating SAP systems.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/remove-controlplane,Removing the control plane using shell scripts,remove_controlplane.sh,Remove SAP deployment control plane with remove_controlplane.sh,"Removes the SAP Control Plane (Deployer, Library) using a shell script.",,2023-09-20T21:53:00.000Z,reference,deployment,0.65,True,"Removal of the SAP control plane (Deployer, Library) via script is a deployment/teardown pattern with product-specific steps and constraints, not generic shell usage.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/remover,Removing the SAP system using shell scripts,remover.sh,Tear down SAP systems using remover.sh,Remove a new SAP system using a shell script.,,2023-02-10T23:04:00.000Z,reference,deployment,0.65,True,"Script-based removal of SAP systems in Azure deployment automation typically includes specific resource dependencies and ordering, which are expert deployment teardown details.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/set-secrets,Set the Keyvault secrets using shell scripts,set_secrets.sh,Set SAP deployment SPN secrets in Azure Key Vault,Sets the SPN Secrets in Azure Key vault using a shell script.,,2024-12-15T12:14:00.000Z,reference,security,0.8,True,"Setting SPN secrets in Key Vault for SAP automation involves product-specific security configuration (service principal usage, Key Vault secret naming, scopes) that qualifies as expert security knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bash/update-sas-token,Update the SAP Library SAS token,update_sas_token.sh,Update SAP Library SAS token in Azure Key Vault,Updates the SAP Library SAS token in Azure Key Vault,,2023-02-10T23:04:00.000Z,reference,configuration,0.7,True,"Updating SAS tokens for the SAP Library involves specific Key Vault secret names and token handling patterns, which are configuration details unique to this solution.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bom-get-files,Get SAP media for BOM,Get SAP media for Bill of Materials,Get SAP media for automation framework BOMs,How to download SAP media to use in your Bill of Materials (BOM) for the SAP on Azure Deployment Automation Framework.,"TheSAP on Azure Deployment Automation Frameworkuses a Bill of Materials (BOM). To create your BOM, you have to locate and download relevant SAP installation media. Then, you need to upload these media files to your Azure storage account. Note This guide covers advanced deployment topics. For a basic explanation of how to deploy the automation framework, see theget started guideinstead. This guide is for configurations that use either the SAP Application (DB) or HANA databases.",2023-02-10T23:04:00.000Z,how-to,configuration,0.7,True,Details how to obtain and place SAP media for BOM usage; BOM structure and media handling are framework-specific configuration knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bom-prepare,Prepare BOM,Prepare Bill of Materials for automation,Prepare SAP Bill of Materials for automation framework,How to prepare a full SAP Bill of Materials (BOM) for use with the SAP on Azure Deployment Automation Framework.,"TheSAP on Azure Deployment Automation Frameworkuses a Bill of Materials (BOM). The BOM helps configure your SAP systems. The automation framework's GitHub repository contains a set ofSample BOMsthat you can use to get started. It is also possible to create BOMs for other SAP Applications and databases. If you want to generate a BOM that includes permalinks,follow the steps for creating this type of BOM. Note This guide covers advanced deployment topics. For a basic explanation of how to deploy t",2023-05-07T08:00:00.000Z,how-to,configuration,0.75,True,"Explains how to construct BOMs, including sample BOMs and steps for permalink-based BOMs; this is detailed configuration for the framework.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/bom-templates-db,Create automation template files,Generate Application Installation templates,Generate SAP application installation templates from BOM,How to generate SAP Application templates for use with the SAP on Azure Deployment Automation Framework.,"TheSAP on Azure Deployment Automation Frameworkuses a Bill of Materials (BOM) to define the SAP Application. Before you can deploy a system using a custom BOM, you need to also create the templates for the ini-files used in the unattended SAP installation. This guide covers how to create the application templates for an SAP/S4 deployment. The process is the same for the other SAP applications.",2023-02-10T23:04:00.000Z,how-to,configuration,0.7,True,Shows how to create ini-file templates for unattended installs based on BOM; product-specific configuration artifacts.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-control-plane,Configure the control plane,Configure control plane for automation framework,Configure the SAP automation framework control plane,Configure your deployment control plane for SAP Deployment Automation Framework.,The control plane forSAP Deployment Automation Frameworkconsists of the following components:,2023-12-12T18:08:00.000Z,concept-article,configuration,0.65,True,"Defines control plane components and how they’re configured for the framework, likely with specific resource and parameter settings.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-devops,Configure Azure DevOps,Configure Azure DevOps Services for SAP Deployment Automation Framework,Configure Azure DevOps pipelines for SAP automation,Configure your Azure DevOps Services for SAP Deployment Automation Framework.,Azure DevOps streamlines the deployment process by providing pipelines that you can run to perform the infrastructure deployment and the configuration and SAP installation activities. You can use Azure Repos to store your configuration files and use Azure Pipelines to deploy and configure the infrastructure and the SAP application.,2023-11-29T18:02:00.000Z,concept-article,deployment,0.6,True,Details how to wire Azure Repos and Pipelines to deploy SAP via the framework; this is product-specific CI/CD deployment configuration.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-extra-disks,Configure custom disk sizing,Custom disk configurations,Customize SAP disk layouts in the automation framework,Provide custom disk configurations for your system in SAP Deployment Automation Framework. Add extra disks to a new system or an existing system.,"By default,SAP Deployment Automation Frameworkdefines the disk configuration for SAP systems. As needed, you can change the default configuration by providing a custom disk configuration JSON file. Tip When possible, it's a best practice to increase the disk size instead of adding more disks. The table shows the default disk configuration for HANA systems. The table shows the default disk configuration for AnyDB systems.",2023-08-29T21:48:00.000Z,concept-article,configuration,0.8,True,Includes default disk configuration tables for HANA and AnyDB and guidance on custom JSON disk configs—detailed configuration and a product-specific best-practice note.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-sap-parameters,Configure SAP parameters,Configure SAP parameters files for Ansible,Configure SAP Ansible parameter files for installation,Learn how to define SAP parameters for Ansible.,The Ansible playbooks use a combination of default parameters and parameters defined by the Terraform deployment for the SAP installation.,2023-08-29T21:48:00.000Z,concept-article,configuration,0.7,True,Describes default vs Terraform-provided parameters used by Ansible playbooks; product-specific parameter names and usage.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-system,Configure the SAP system,Configure SAP system parameters for automation,Define SAP system tfvars parameters for automation,Define the SAP system properties for SAP Deployment Automation Framework by using a parameters file.,"Configuration forSAP Deployment Automation Frameworkhappens through parameters files. You provide information about your SAP system infrastructure in atfvarsfile, which the automation framework uses for deployment. You can find examples of the variable file in thesamplesrepository. The automation supports creating resources (green-field deployment) or using existing resources (brown-field deployment):",2025-02-16T08:00:00.000Z,concept-article,configuration,0.75,True,Focuses on tfvars parameter files and supported fields for system configuration; clearly a configuration reference for the framework.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-webapp,Configure Configuration Web App,Configure a Deployer Web Application for SAP on Azure Deployment Automation Framework,Configure deployer web app for SAP automation,Configure a web app as a part of the control plane to help creating and deploying SAP workload zones and systems on Azure.,"As a part of the SAP automation framework control plane, you can optionally create an interactive web application that assists you in creating the required configuration files and deploying SAP workload zones and systems using Azure Pipelines.",2023-12-07T23:03:00.000Z,concept-article,deployment,0.65,True,Shows how to configure a web app as part of the control plane to drive deployments; this is a deployment-enablement configuration specific to the framework.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/configure-workload-zone,Configure the workload zone,Workload zone configuration in the automation framework,Design SAP workload zones in the automation framework,Overview of the SAP workload zone configuration process within SAP Deployment Automation Framework.,"AnSAP applicationtypically has multiple development tiers. For example, you might have development, quality assurance, and production tiers.SAP Deployment Automation Frameworkcalls these tiersworkload zones. See the following diagram for an example of a workload zone with two SAP systems. The workload zone provides shared services to all of the SAP Systems in the workload zone. These shared services include: The workload zone is typically deployed in a spoke subscription and the deployment of al",2024-09-24T11:22:00.000Z,concept-article,architecture-patterns,0.6,True,"Describes workload zones, shared services, and hub-spoke placement; this is a framework-specific architecture pattern for SAP tiers.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/deploy-control-plane,Deploy the control plane,Deploy the control plane for SAP Deployment Automation Framework,,Overview of the control plane deployment process in SAP Deployment Automation Framework.,The control plane deployment forSAP Deployment Automation Frameworkconsists of the:,2026-03-15T08:00:00.000Z,how-to,,0.2,False,"The page is an overview of the control plane deployment process for the SAP Deployment Automation Framework. From the available summary, it does not expose specific configuration parameter tables, limits, error codes, or decision matrices. It appears to be procedural/overview content rather than detailed expert reference material that matches any of the defined sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/deploy-system,Deploy the SAP system,SAP system deployment for the automation framework,Deploy SAP systems using the automation framework,Overview of the SAP system deployment process in SAP Deployment Automation Framework.,The creation of theSAP systemis part of theSAP Deployment Automation Frameworkprocess. The SAP system deployment creates your virtual machines (VMs) and supporting components for yourSAP application. The SAP system deploys:,2023-08-24T11:21:00.000Z,concept-article,deployment,0.7,True,Details how SAP systems and their VMs/components are created by the framework; core deployment behavior.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/deploy-workload-zone,Deploy the workload zone,About workload zone deployment in automation framework,Deploy SAP workload zones with the automation framework,Overview of the SAP workload zone deployment process within SAP Deployment Automation Framework.,"AnSAP applicationtypically has multiple development tiers. For example, you might have development, quality assurance, and production tiers.SAP Deployment Automation Frameworkcalls these tiersworkload zones. You can use workload zones in multiple Azure regions. Each workload zone then has its own instance of Azure Virtual Network. The following services are provided by the SAP workload zone: The workload zones are typically deployed in spokes in a hub-and-spoke architecture. They can be in their",2024-02-27T23:07:00.000Z,concept-article,deployment,0.7,True,Explains workload zone deployment across regions and hub-spoke; a framework-specific deployment topology description.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/deployment-framework,Overview,About SAP Deployment Automation Framework,,Overview of the framework and tooling for SAP Deployment Automation Framework.,"SAP Deployment Automation Frameworkis an open-source orchestration tool that can deploy, install, and maintain SAP environments. You can deploy the systems on any of the SAP-supported operating system versions and into any Azure region. You can create infrastructure for SAP landscapes based on SAP High-Performance Analytic Appliance (HANA) and NetWeaver with AnyDB by usingTerraform. The environments can be configured usingAnsible. Terraformfrom Hashicorp is an open-source tool for provisioning a",2026-02-09T08:00:00.000Z,concept-article,,0.2,False,High-level overview of SAP Deployment Automation Framework; conceptual description of what it is and does.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/devops-tutorial,Deployment DevOps hands-on lab,Tutorial: Use SAP Deployment Automation Framework with DevOps,Tutorial: Use SAP automation framework with Azure DevOps,This tutorial shows you how to use SAP Deployment Automation Framework by using Azure DevOps Services.,"This tutorial shows you how to perform the deployment activities ofSAP Deployment Automation Frameworkby using Azure DevOps Services. In this tutorial, you learn how to:",2023-08-31T16:03:00.000Z,tutorial,deployment,0.7,True,Shows how to perform framework deployments via Azure DevOps; CI/CD deployment pattern unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/extensibility,Extensibility,Extensibility for the SAP Deployment Automation Framework,,Describe how to extend the SAP Deployment Automation Framework.,"Within the SAP Deployment Automation Framework (SDAF), we recognize the importance of adaptability and customization to meet the unique needs of various deployments. This document describes the ways to extend the framework's capabilities, ensuring that it aligns  with your specific requirements. Some of the common scenarios for extending the framework include: Forking the Source Code Repository: One method of extending SDAF is by forking the source code repository. This approach grants you the f",2024-02-26T23:06:00.000Z,concept-article,,0.5,False,"Describes extensibility options (forking, etc.); mostly conceptual customization approaches rather than concrete config parameters or limits.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/get-started,Get started with automation framework,Get started with SAP Deployment Automation Framework,,Learn how to quickly get started with SAP Deployment Automation Framework by deploying an example configuration using sample parameter files.,Get started quickly withSAP Deployment Automation Framework.,2026-03-17T06:14:00.000Z,how-to,,0.2,False,"Page is a getting-started/tutorial-style guide for SAP Deployment Automation Framework using sample parameter files. It does not focus on detailed configuration matrices, limits, quotas, or product-specific troubleshooting/error codes; instead it walks through deploying an example configuration. Lacks the structured expert-knowledge patterns required for any sub-skill type.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/integration-azure-monitor-sap,SAP Monitoring with Azure Monitor for SAP,SAP Monitoring with Azure Monitor for SAP,Integrate Azure Monitor for SAP with automation framework,Configure Azure Monitor for SAP with SAP Deployment Automation Framework.,"Monitoring the performance and availability of SAP systems on Azure is simplified throughAzure Monitor for SAP. It collects and analyzes metrics and logs from your applications, databases, operating systems, and Azure resources. Customers use Azure Monitor for SAP to visualize and troubleshoot issues, set alerts and notifications, and optimize SAP workloads on Azure. By integrating Azure Monitor for SAP and SAP Deployment Automation Framework, you can achieve a faster, easier, and more reliable ",2024-02-27T23:07:00.000Z,how-to,integrations,0.7,True,"Describes integration of Azure Monitor for SAP with the framework, including configuration steps and parameters for this specific integration.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/naming,Naming conventions,Naming standards for the automation framework,,Explanation of naming conventions for SAP Deployment Automation Framework.,"SAP Deployment Automation Frameworkuses standard naming conventions. Consistent naming helps the automation framework run correctly with Terraform. Standard naming helps you deploy the automation framework smoothly. For example, consistent naming helps you to: Review the standard terms, area paths, and variable names before you begin your deployment. If necessary, you can alsoconfigure custom naming.",2023-12-12T18:08:00.000Z,reference,,0.45,False,Explains naming standards conceptually; likely conventions but not detailed config parameters or limits that materially affect behavior.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/naming-module,Using a custom naming convention,Configure custom naming for the automation framework,Configure custom naming with sap_namegenerator module,Explanation of how to implement custom naming conventions for SAP Deployment Automation Framework.,SAP Deployment Automation Frameworkuses a standard naming convention for Azureresource naming. The Terraform modulesap_namegeneratordefines the names of all resources that the automation framework deploys. The module is located at/deploy/terraform/terraform-units/modules/sap_namegenerator/in the repository. The framework also supports providing your own names for some of the resources by using theparameter files. The naming of the resources uses the following format: resource prefix + resource_g,2023-09-03T11:19:00.000Z,concept-article,configuration,0.7,True,"Describes the sap_namegenerator Terraform module, resource name formats, and parameter-file-driven overrides—product-specific configuration parameters and allowed patterns.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/new-vs-existing,Sample deployment configurations,Configure the automation framework for new and existing deployments,Choose new vs existing infrastructure for SAP automation,Learn how to configure SAP Deployment Automation Framework for both new and existing scenarios.,"You can useSAP Deployment Automation Frameworkin both new and existing deployment scenarios. In new deployment scenarios, the automation framework doesn't use existing Azure infrastructure. The deployment process creates the virtual networks, subnets, key vaults, and more. In existing deployment scenarios, the automation framework uses existing Azure infrastructure. For example, the deployment uses existing virtual networks.",2023-09-03T11:19:00.000Z,concept-article,decision-making,0.7,True,"Guides configuration for greenfield vs brownfield scenarios, helping decide when to let the framework create vs reuse infrastructure.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/plan-deployment,Plan your automated deployment,Plan your SAP deployment with the automation framework on Azure,Plan SAP deployments using the automation framework,"Prepare for using SAP Deployment Automation Framework. Steps include planning for credentials management, DevOps structure, and deployment scenarios.","There are multiple considerations for planning SAP deployments using theSAP Deployment Automation Framework. These include subscription planning, credentials management virtual network design. For generic SAP on Azure design considerations, seeIntroduction to an SAP adoption scenario. Note The Terraform deployment uses Terraform templates provided by Microsoft from theSAP Deployment Automation Framework repository. The templates use parameter files with your system-specific information to perfor",2024-03-11T22:07:00.000Z,concept-article,decision-making,0.65,True,"Covers subscription planning, credential management, vNet design, and deployment scenarios; this is framework-specific planning/selection guidance that informs which deployment approach to choose.",unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/reference-bash,Bash scripts for automation framework,SAP Deployment Automation Framework Bash reference,Use Bash scripts to deploy SAP automation framework,Use shell scripts to deploy SAP Deployment Automation Framework components.,You can deploy allSAP Deployment Automation Frameworkcomponents by using shell scripts.,2023-09-19T16:49:00.000Z,article,deployment,0.65,True,Reference for shell scripts that deploy framework components; includes script names and usage patterns for deployment.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/run-ansible,Use Ansible for system configuration,Run Ansible to configure the SAP system,Run Ansible playbooks to configure SAP systems,Configure the environment and install SAP by using Ansible playbooks with SAP Deployment Automation Framework.,"When you useSAP Deployment Automation Framework, you can perform anautomated infrastructure deployment. You can also do the required operating system configurations and install SAP by using Ansible playbooks provided in the repository. These playbooks are located in the automation framework repository in the/sap-automation/deploy/ansiblefolder.",2024-03-12T22:06:00.000Z,how-to,deployment,0.65,True,Shows how to execute framework-provided Ansible playbooks for OS config and SAP install; deployment/configuration workflow specific to this product.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/software,Download and prepare software media,Download SAP software for the automation framework,Download SAP software via Ansible for automation framework,Download the SAP software to your Azure environment by using Ansible playbooks to use SAP Deployment Automation Framework.,"You need a copy of the SAP software before you can useSAP Deployment Automation Framework.Prepare your Azure environmentso that you can put the SAP media in your storage account. Then,download the SAP software by using Ansible playbooks.",2023-09-03T11:19:00.000Z,how-to,integrations,0.65,True,Uses Ansible playbooks to pull SAP media into Azure storage; includes product-specific playbook parameters and patterns.,unchanged
https://learn.microsoft.com/en-us/azure/sap/automation/supportability,Supported platforms and features,Supportability matrix for SAP Deployment Automation Framework,Check supported topologies for SAP automation framework,"Supported platforms, topologies, and capabilities for SAP Deployment Automation Framework.",SAP Deployment Automation Frameworksupports deployment of all the supported SAP on Azure topologies.,2024-03-10T23:10:00.000Z,concept-article,deployment,0.7,True,"A supportability matrix for platforms and topologies is deployment-specific expert knowledge, listing which deployment options are supported where.",unchanged
