url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-fedramp-guidance?view=azloc-2603,FedRAMP guidance,FedRAMP guidance for Azure Local - Azure Local,,Learn about FedRAMP compliance using Azure Local.,Applies to: Hyperconverged deployments of Azure Local This article explains the relationship between Azure Local and FedRAMP and how organizations can stay compliant with FedRAMP with Azure Local solutions.,2026-01-28T23:03:00.000Z,concept-article,,0.2,False,"FedRAMP guidance; focuses on relationship and compliance, not on concrete configuration or limits.",new
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-hipaa-guidance?view=azloc-2603,HIPAA guidance,HIPAA guidance for Azure Local - Azure Local,,Learn about HIPAA compliance using Azure Local.,Applies to: Hyperconverged deployments of Azure Local This article provides guidance on how organizations can most efficiently navigate HIPAA compliance for solutions built with Azure Local.,2026-01-28T23:03:00.000Z,concept-article,,0.2,False,"HIPAA guidance; summary suggests general compliance guidance, not detailed product-specific settings.",new
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-iso27001-guidance?view=azloc-2603,ISO/IEC 27001 guidance,ISO 27001 guidance for Azure Local - Azure Local,,Learn about ISO 27001 compliance using Azure Local.,"Applies to: Hyperconverged deployments of Azure Local This article outlines how Azure Local helps organizations meet the security control requirements of ISO/IEC 27001:2022, both in cloud and on premises. Learn more about Azure Local and other security standards atAzure Local and security standards.",2026-01-28T23:03:00.000Z,concept-article,,0.2,False,ISO 27001 guidance at a conceptual/compliance level; summary does not show concrete security settings or RBAC details.,new
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-pci-dss-guidance?view=azloc-2603,PCI DSS guidance,PCI DSS guidance for Azure Local - Azure Local,,Learn about PCI DSS compliance using Azure Local.,"Applies to: Hyperconverged deployments of Azure Local This article explains how Microsoft Azure Local security features can help organizations in the payment card industry achieve the security control requirements of PCI DSS, both in the cloud and in their on-premises environments.",2026-01-28T23:03:00.000Z,concept-article,,0.2,False,PCI DSS guidance; appears compliance-oriented without specific configuration parameters or numeric limits.,new
https://learn.microsoft.com/en-us/azure/azure-local/assurance/azure-stack-security-standards?view=azloc-2603,Azure Local and security standards,Azure Local and security standards - Azure Local,,"Learn about Azure Local, security standards, and security assurance.","Applies to: Hyperconverged deployments of Azure Local This article provides information about security standards related to Azure Local. The resources detailed in this article, including certifications and evaluation reports, could be used as sources to help you in your compliance planning. Each section in this article provides information on Azure Local and a particular security standard, together with any completed certifications.",2026-03-02T23:03:00.000Z,concept-article,,0.2,False,Describes security standards and certifications; compliance/assurance overview without product-specific configuration or limits.,new
https://learn.microsoft.com/en-us/azure/azure-local/concepts/azure-hybrid-benefit?view=azloc-2603,Azure Hybrid Benefit,Azure Hybrid Benefit for Azure Local - Azure Local,Decide how to use Azure Hybrid Benefit with Azure Local,Learn about Azure Hybrid Benefit for Azure Local.,"Applies to: Azure Local 2311.2 and later This article describes Azure Hybrid Benefit and how to use it for Azure Local. Azure Hybrid Benefitis a program that helps you reduce the costs of running workloads in the cloud. With Azure Hybrid Benefit for Azure Local, you can maximize the value of your on-premises licenses and modernize your existing infrastructure to Azure Local at no additional cost.",2025-08-27T17:04:00.000Z,how-to,decision-making,0.6,True,"Explains how to apply Azure Hybrid Benefit specifically to Azure Local, guiding cost and licensing decisions for this service.",new
https://learn.microsoft.com/en-us/azure/azure-local/concepts/billing?view=azloc-2603,Billing and payment,Azure Local billing and payment - Azure Local,Understand billing and payment model for Azure Local,How billing and payment works in Azure Local.,"Applies to: Azure Local 2311.2 and later Azure Local is an Azure service that goes on your Azure subscription bill just like any other Azure service. It's priced on a per core basis on your on-premises servers. For current pricing, seeAzure Local pricing. Currencies and discounts are handled centrally by the Azure Commerce billing platform, and the customer gets one unified, itemized bill at the end of the month. No traditional on-premises software license is required for Azure Local, although g",2026-01-07T23:02:00.000Z,overview,decision-making,0.6,True,Provides product-specific billing behavior and pricing model details that inform cost planning and service selection.,new
https://learn.microsoft.com/en-us/azure/azure-local/concepts/compare-vm-management-capabilities?view=azloc-2603,Compare VM management capabilities,Compare Management Capabilities of VMs on Azure Local - Azure Local,Choose Azure Local VM types and management capabilities,Learn about the kinds of virtual machines (VMs) that can run on Azure Local and compare their management capabilities.,Applies to: Hyperconverged deployments of Azure Local This article describes the types of virtual machines (VMs) available on Azure Local. It also compares their management capabilities in Azure.,2026-01-07T23:02:00.000Z,product-comparison,decision-making,0.65,True,Comparison of VM types and their management capabilities; likely includes comparison tables that guide which VM type to use for different scenarios.,new
https://learn.microsoft.com/en-us/azure/azure-local/concepts/compare-windows-server?view=azloc-2603,Compare to Windows Server,Compare Azure Local to Windows Server - Key Differences and Benefits - Azure Local,Decide between Azure Local and Windows Server,"Learn the key differences between Azure Local and Windows Server to choose the best solution for your organization. Compare features, benefits, and scenarios.","Applies to: Azure Local 2311.2 and later; Windows Server 2025 This article compares Azure Local and Windows Server, and highlights key differences between the two products. It helps you learn when to use each product, and how they can work together. Azure Local and Windows Server share many similarities, such as letting you run virtual machines and container-based workloads. But they're designed for different scenarios and use cases. Azure Local is a cloud-connected hyperconverged solution that ",2026-01-26T23:10:00.000Z,product-comparison,decision-making,0.8,True,Explicit comparison of Azure Local vs Windows Server with guidance on when to use each; product-specific decision criteria and scenarios.,new
https://learn.microsoft.com/en-us/azure/azure-local/concepts/datacenter-firewall-overview?view=azloc-2603,Datacenter Firewall overview,Overview of Datacenter Firewall in Azure Local and Windows Server - Azure Local,,Use this article to learn about Datacenter Firewall in Azure Local and Windows Server.,"Applies to: Azure Local 2311.2 and later; Windows Server 2022, Windows Server 2019, Windows Server 2016 Datacenter Firewall is a network layer, 5-tuple (protocol, source and destination port numbers, source and destination IP addresses), stateful, multitenant Software Defined Networking (SDN) firewall. The Datacenter Firewall protects east-west and north-south traffic flows across the network layer of virtual networks and traditional VLAN networks.",2025-12-22T23:06:00.000Z,overview,,0.3,False,"Overview of Datacenter Firewall; conceptual description of capabilities, not detailed security configuration.",new
