url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-video-indexer/accounts-overview,Account types,Azure AI Video Indexer accounts,Choose between Azure Video Indexer account types,"Learn about the different types of Azure AI Video Indexer accounts, including trial accounts, paid ARM-based accounts, and deprecated classic accounts.","Azure AI Video Indexer provides different types of accounts to suit various user needs, including trial accounts for testing and paid accounts for production use.",2025-10-06T08:00:00.000Z,concept-article,decision-making,0.6,True,Explains trial vs paid vs classic accounts; likely includes capability differences and usage constraints to guide account-type selection.,unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/agents-overview,AI Agents for detection,AI Agents for Real-Time Video Analysis in Azure AI Video Indexer,Use AI agents for real-time Video Indexer analysis,"Discover how agentic intelligence uses specialized AI agents to analyze live video streams, offering insights for retail, customer service, security, and more.","Azure AI Video Indexer (VI) uses specialized AI agents to deliver targeted, real-time insights from live video streams. These agents are modular, task-focused components that automatically analyze video for specific events, conditions, or behaviors such as safety hazards, customer experience problems, or operational anomalies. This article explains the available agents, activating and managing them by using the API, and best practices for integrating agentic intelligence into your video analysis",2025-12-22T06:07:00.000Z,concept-article,best-practices,0.6,True,"Explains available agents, how to activate/manage via API, and best practices for integration; this is product-specific operational guidance and patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/azure-video-indexer-enabled-by-arc-overview,VI enabled by Arc,What is Azure AI Video Indexer enabled by Arc?,,"Azure AI Video Indexer enabled by Arc performs video and audio analysis on edge devices, providing a hybrid solution for indexing content.","Azure AI Video Indexer enabled by Arcis an Azure Arc extension enabled service that runs video and audio analysis andgenerative AIon edge devices. The solution runs onAzure Arc enabled Kubernetes, supports many video formats, and assumes that one Video Indexer resource maps to one extension. It transcribes spoken content in more than 35 source languages and translates them to English. For a full list of supported languages, seeSupported languages per scenario. If you aren't already familiar with",2025-10-06T08:00:00.000Z,overview,,0.25,False,Service overview for Arc-enabled Video Indexer; primarily descriptive without deep configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/azure-video-indexer-enabled-by-arc-quickstart,Try VI enabled by Arc,Try Azure AI Video Indexer enabled by Arc,Enable Azure Video Indexer as an Arc extension,This article walks you through the steps required to enable Video Indexer as an Arc extension on your current infrastructure.,"Azure AI Video Indexer enabled by Arcis an Azure Arc extension enabled service that runs video and audio analysis andgenerative AIon edge devices. The solution runs onAzure Arc enabled Kubernetes, supports many video formats, and assumes that one Video Indexer resource maps to one extension. It transcribes spoken content in more than 35 source languages and translates them to English. For a full list of supported languages, seeSupported languages per scenario. This article walks you through the ",2025-10-06T08:00:00.000Z,quickstart,deployment,0.65,True,"Walks through enabling Video Indexer on Arc-enabled Kubernetes as an extension, which is a product-specific deployment pattern with unique constraints.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/arc/azure-video-indexer-enabled-by-arc-troubleshooting,VI enabled by Arc troubleshooting,Troubleshoot Azure AI Video Indexer enabled by Arc,Troubleshoot Azure Video Indexer enabled by Arc,"Troubleshoot common issues with Azure AI Video Indexer enabled by Arc, including connectivity, streaming, and encoding problems.",Use the following information to troubleshoot issues with Azure AI Video Indexer enabled by Arc.,2025-11-18T16:09:00.000Z,troubleshooting-general,troubleshooting,0.8,True,Explicit troubleshooting article; likely maps connectivity/streaming/encoding issues to causes and resolutions specific to Arc-enabled Video Indexer.,unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/audio-effects-detection-insight,Audio effects detection insights,Get audio effects detection insights,Retrieve audio effects detection insights via Video Indexer,This article shows you how to get the Azure AI Video Indexer audio effects detection insights.,"Audio effects detection detects acoustic events and classifies them into categories like laughter, crowd reactions, alarms, or sirens.",2026-01-06T23:10:00.000Z,how-to,integrations,0.6,True,"Insight article typically includes API usage and JSON schema for this specific feature, which are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/avi-support-matrix,Support matrix and limitations,Azure AI Video Indexer support matrix and service limits,Review Azure Video Indexer support matrix and service limits,"Learn about supported formats, file size and duration limits, languages, optical character recognition, projects, person models, and codecs in Azure AI Video Indexer.",This article describes the supported formats and limitations of Azure AI Video Indexer.,2025-11-10T23:06:00.000Z,concept-article,limits-quotas,0.95,True,"Support matrix and limitations article; contains detailed format support, file size/duration limits, and other numeric constraints.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/bring-your-own-model-overview,Bring Your Own AI model,Azure AI Video Indexer Bring Your Own AI model overview,,This article is an overview of Azure AI Video Indexer enabled by Arc bring your own model.,This article is an overview of Azure AI Video Indexer bring your own AI model.,2025-10-06T08:00:00.000Z,overview,,0.25,False,Bring-your-own-model overview without clear indication of detailed configuration parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/clapper-board-insight,Clapper board detection insights,Get clapper board detection insights in Azure AI Video Indexer,Retrieve clapper board detection insights via Video Indexer,"This article describes the Azure AI Video Indexer clapper board detection insight, how to view it in the web portal, and how to get it with the API.","Clapper board detection finds clapper boards used during filming and gives you the information on the clapper board as metadata, likeproduction,roll,scene, andtake. Clapper board is part of post-production insights that you select in the web portaladvanced settingswhen you upload and index the file.",2026-01-06T23:10:00.000Z,how-to,integrations,0.7,True,"Explains how clapper board metadata is surfaced and how to access via API; includes specific fields like production, roll, scene, take.",unchanged
https://learn.microsoft.com/en-us/azure/azure-video-indexer/connect-azure-open-ai-task,Create an account connected to Azure OpenAI,Create an Azure AI Video Indexer account with an Azure OpenAI connection,Connect Azure Video Indexer accounts to Azure OpenAI,This article explains how to create an Azure AI Video Indexer account with an Azure OpenAI connection.,"You can use Azure AI Video Indexer with Azure OpenAI deployments by creating or updating an Azure AI Video Indexer account to connect with an Azure OpenAI in the Azure portal. This article explains how to connect Azure OpenAI to Azure AI Video Indexer, but doesn't cover use cases for Azure OpenAI or combining the two services. For more information about Azure OpenAI deployments, see theAzure OpenAI Service documentation.",2025-10-06T08:00:00.000Z,how-to,integrations,0.6,True,Describes product-specific steps and parameters to bind a Video Indexer account to an Azure OpenAI deployment; this is an integration pattern unique to these services.,unchanged
