url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-agent-based-security-alerts,Micro agent security alerts,Micro agent security alerts - Microsoft Defender for IoT,Use Defender micro agent security alerts and remediation guidance,"Learn about security alerts and recommended remediation using Defender for IoT device's features, and services.","Defender for IoT continuously analyzes your IoT solution using advanced analytics and threat intelligence to alert you to malicious activity.
In addition, you can create custom alerts based on your knowledge of expected device behavior.
An alert acts as an indicator of potential compromise, and should be investigated and remediated. Note Defender for IoT plans to retire the micro agent on August 1, 2025. In this article, you'll find a list of built-in alerts, which can be triggered on your IoT d",2023-01-10T12:21:00.000Z,concept-article,troubleshooting,0.7,True,"Contains a list of built-in alerts for devices with recommended remediation; maps alert types to actions, which is product-specific troubleshooting knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-agent-portfolio-overview-os-support,Agent portfolio overview and OS support,Agent portfolio overview and OS support - Microsoft Defender for IoT,,Microsoft Defender for IoT provides a large portfolio of agents based on the device type.,"Microsoft Defender for IoT provides a large portfolio of agents based on the device type. Note Defender for IoT plans to retire the micro agent on August 1, 2025.",2024-08-22T05:37:00.000Z,conceptual,,0.25,False,Conceptual agent portfolio and OS support overview; summary does not indicate detailed support matrices or configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-customizable-security-alerts,Custom security alerts for IoT Hub,Custom security alerts for IoT Hub - Microsoft Defender for IoT,Configure custom security alerts for Azure IoT Hub,Learn about customizable security alerts and recommended remediation using Defender for IoT Hub's features and service.,"Defender for IoT continuously analyzes your IoT solution using advanced analytics and threat intelligence to alert you to malicious activity. Create custom alerts based on your knowledge of each expected device's behavior. These alerts act as the most efficient indicators of any potential changes to your organizational deployment, or landscape. The following lists of Defender for IoT alerts are definable by you based on your expected IoT Hub behavior. For more information about how to customize ",2023-01-10T12:21:00.000Z,conceptual,configuration,0.7,True,"Describes definable alert types and how to customize them; likely includes alert parameters and thresholds, which are product-specific configuration settings.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-data-processing,Data processing and residency,Data processing and residency - Microsoft Defender for IoT,,"Microsoft Defender for IoT data processing, and residency can occur in regions that are different than the IoT Hub's region.","Microsoft Defender for IoT is a separate service, which adds an extra layer of threat protection to the Azure IoT Hub, IoT Edge, and your devices. Defender for IoT may process, and store your data within a different geographic location than your IoT Hub. Mapping between the IoT Hub, and Microsoft Defender for IoT's regions is as follows: For a Hub located in Europe, the data is stored in theWest Europeregion. For a Hub located outside Europe, the data is stored in theEast USregion. Microsoft Def",2023-01-12T12:22:00.000Z,conceptual,,0.55,False,"Describes data processing and residency mapping (EU hubs to West Europe, others to East US); while region mapping is specific, it’s more policy/behavior than a skill type in the given taxonomy.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-event-aggregation,Micro agent event collection,Micro agent event collection - Microsoft Defender for IoT,,"Defender for IoT security agents collect data and system events from your local device, and send the data to the Azure cloud for processing, and analytics.","Defender for IoT security agents collect data and system events from your local device, and send the data to the Azure cloud for processing. Note Defender for IoT plans to retire the micro agent on August 1, 2025. If you've configured and connected a Log Analytics workspace, you'll see these events in Log Analytics. For more information, seeTutorial: Investigate security alerts. The Defender for IoT micro agent collects many types of device events including new processes, and all new connection ",2024-04-17T08:00:00.000Z,conceptual,,0.45,False,Explains event collection types and flow; conceptual description of collected events rather than configuration tables or troubleshooting mappings.,unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-micro-agent-configuration,Micro agent configurations,Micro agent configurations - Microsoft Defender for IoT,Configure Defender for IoT micro agent behavior via module twin,The collector sends all current data immediately after any configuration change is made. The configuration changes are then applied.,"This article describes the different types of configurations that the micro agent supports. Customers can configure the micro agent to fit the needs of their devices, and network environments. Note Defender for IoT plans to retire the micro agent on August 1, 2025. The micro agent's behavior is configured by a set of module twin properties. You can configure the micro agent to best suit your needs. For example, you can turn off certain events to minimize power consumption, and reduce other resou",2022-12-28T18:04:00.000Z,concept-article,configuration,0.8,True,"Explicitly about micro agent configuration via module twin properties; likely includes property names, allowed values, and behavioral impact, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-micro-agent-linux-dependencies,Micro agent linux dependencies,Micro agent Linux dependencies - Microsoft Defender for IoT,Meet Linux dependency requirements for Defender micro agent,This article describes the different Linux OS dependencies for the Defender for IoT micro agent.,"This article describes the different Linux OS dependencies for the Defender for IoT micro agent. Note Defender for IoT plans to retire the micro agent on August 1, 2025.",2024-08-01T17:04:00.000Z,conceptual,configuration,0.7,True,"Linux OS dependencies for the micro agent are product-specific requirements (libraries, kernel versions, packages) that function as configuration/environment constraints.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-recommendations,Security recommendations for IoT Hub,Security recommendations for IoT Hub - Microsoft Defender for IoT,Apply Defender for IoT Hub security recommendations,Learn about the concept of security recommendations and how they're used in the Defender for IoT Hub.,"Defender for IoT scans your Azure resources and IoT devices and provides security recommendations to reduce your attack surface.
Security recommendations are actionable and aim to aid customers in complying with security best practices. In this article, you will find a list of recommendations, which can be triggered on your IoT Hub.",2024-03-31T23:24:00.000Z,conceptual,best-practices,0.65,True,Provides a list of concrete security recommendations for IoT Hub resources; these are product-specific DO/DO NOT guidance tied to Defender’s assessment model.,unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-security-alerts,Built-in alerts for IoT Hub,Built-in & custom alerts list - Microsoft Defender for IoT,Use Defender for IoT Hub built-in and custom alerts,Learn about security alerts and recommended remediation using Defender for IoT Hub's features and service.,"Defender for IoT continuously analyzes your IoT solution using advanced analytics and threat intelligence to alert you to malicious activity.
In addition, you can create custom alerts based on your knowledge of expected device behavior.
An alert acts as an indicator of potential compromise, and should be investigated and remediated. In this article, you will find a list of built-in alerts, which can be triggered on your IoT Hub.
In addition to built-in alerts, Defender for IoT allows you to defi",2023-01-10T12:21:00.000Z,conceptual,troubleshooting,0.75,True,"Lists built-in IoT Hub alerts and likely their meanings and remediation; this is a mapping from alert/symptom to recommended action, fitting troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/defender-for-iot/device-builders/concept-standalone-micro-agent-overview,Standalone micro agent overview,Standalone micro agent overview - Microsoft Defender for IoT,,The Microsoft Defender for IoT security agents allow you to build security directly into your new IoT devices and Azure IoT projects.,"Security is a near-universal concern for IoT implementers. IoT devices have unique needs for endpoint monitoring, security posture management, and threat detection – all with highly specific performance requirements. Note Defender for IoT plans to retire the micro agent on August 1, 2025. The Microsoft Defender for IoT security agent allows you to build security directly into your new IoT devices and Azure IoT projects. The micro agent has flexible deployment options, including the ability to de",2024-08-01T17:04:00.000Z,conceptual,,0.25,False,"Standalone micro agent overview; marketing/positioning and deployment options, not detailed configuration or limits.",unchanged
