url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot-operations/configure-observability-monitoring/howto-clean-up-observability-resources,Clean up observability resources,Clean up observability resources - Azure IoT Operations,Clean up Azure IoT Operations observability resources,Learn how to clean up shared and data collection observability resources from an existing installation in Azure IoT Operations.,This article describes how to clean up the observability resources in your cluster without removing the cluster itself.,2025-11-20T23:11:00.000Z,how-to,configuration,0.64,True,Describes how to remove specific observability resources; likely includes resource names and commands unique to this product.,unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/configure-observability-monitoring/howto-configure-observability,Deploy observability resources,Deploy observability resources - Azure IoT Operations,Deploy observability resources and Grafana dashboards,"Learn how to deploy Azure IoT Operations observability resources, configure Prometheus metrics, and set up Grafana dashboards to monitor your industrial IoT solution effectively.","Azure IoT Operations observability provides visibility into every layer of your configuration and gives you insight into the actual behavior of issues, which increases the effectiveness of site reliability engineering. Azure IoT Operations offers observability through custom curated Grafana dashboards hosted in Azure, powered by Azure Monitor managed service for Prometheus and Container Insights. This article shows you how to deploy Azure IoT Operations observability resources, set up Azure Mana",2026-02-11T23:10:00.000Z,how-to,configuration,0.7,True,Shows how to deploy observability resources and configure Prometheus/Grafana; likely includes specific resource parameters and configuration values.,unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-conversions,Convert data,Convert data by using data flow conversions - Azure IoT Operations,Configure data flow conversions for transforming data,Learn about data flow conversions for transforming data in Azure IoT Operations.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. You can use data flow conversions to transform data in Azure IoT ",2024-11-19T18:02:00.000Z,concept-article,configuration,0.68,True,"Conversions feature likely documented with specific operators, parameters, and configuration syntax unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-enrich,Enrich data,Enrich data by using data flows - Azure IoT Operations,Configure data enrichment with contextualization datasets,Use contextualization datasets to enrich data in Azure IoT Operations data flows.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. You can enrich data by using thecontextualization datasetsfunctio",2025-02-21T18:03:00.000Z,concept-article,configuration,0.66,True,Enrichment via contextualization datasets is product-specific; article likely lists configuration fields and usage patterns for this feature.,unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-dataflow-mapping,Map data,Map data by using data flows - Azure IoT Operations,Use data flow mapping language for transformations,Learn about the data flow mapping language for transforming data in Azure IoT Operations.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Use the data flow mapping language to transform data in Azure IoT",2024-11-19T18:02:00.000Z,concept-article,configuration,0.7,True,"Describes a custom mapping language; likely includes function names, syntax, and field options that are specific configuration/DSL details.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/concept-schema-registry,Use message schemas,Understand message schemas - Azure IoT Operations,Understand and configure schema registry message schemas,Learn how schema registry handles message schemas to work with Azure IoT Operations components including data flows.,"Schema registry, a feature provided by Azure Device Registry, is a synchronized repository in the cloud and at the edge. The schema registry stores the definitions of messages coming from edge assets, and then exposes an API to access those schemas at the edge. The connector for OPC UA can create message schemas and add them to the schema registry or customers can upload schemas to the operations experience web UI or using ARM/Bicep templates. Edge services use message schemas to filter and tran",2025-10-30T08:00:00.000Z,concept-article,configuration,0.64,True,"Schema registry behavior and APIs are product-specific; likely includes schema formats, API paths, and configuration options.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-adlsv2-endpoint,ADLSv2 Blob Storage,Configure data flow endpoints for Azure Data Lake Storage Gen2 - Azure IoT Operations,Configure Azure Data Lake Gen2 data flow endpoints,Learn how to configure data flow endpoints for Azure Data Lake Storage Gen2 in Azure IoT Operations.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Send data to Azure Data Lake Storage Gen2 in Azure IoT Operations",2025-06-20T11:09:00.000Z,how-to,configuration,0.78,True,"Covers endpoint configuration for ADLS Gen2; expected to detail endpoint schema, required fields, and supported options.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-adx-endpoint,Azure Data Explorer,Configure data flow endpoints for Azure Data Explorer - Azure IoT Operations,Configure Azure Data Explorer data flow endpoints,Learn how to configure data flow endpoints for Azure Data Explorer in Azure IoT Operations.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. To send data to Azure Data Explorer in Azure IoT Operations, you ",2025-06-20T11:09:00.000Z,how-to,configuration,0.76,True,How-to for ADX endpoints; likely includes endpoint configuration schema and product-specific parameters.,unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-dataflow-endpoint,Overview,Configure data flow endpoints in Azure IoT Operations - Azure IoT Operations,Configure data flow endpoints in Azure IoT Operations,Configure data flow endpoints to create connection points for data sources.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. To get started with data flows, first create data flow endpoints.",2025-08-19T22:13:00.000Z,how-to,configuration,0.74,True,"Endpoint configuration how-to; likely includes CRD fields, required properties, and allowed values for endpoint resources.",unchanged
https://learn.microsoft.com/en-us/azure/iot-operations/connect-to-cloud/howto-configure-dataflow-profile,Manage data flow profiles,Configure data flow profile in Azure IoT Operations - Azure IoT Operations,Configure data flow profiles to control behavior,How to configure a data flow profile in Azure IoT Operations to change a data flow behavior.,"Important This page includes instructions for managing Azure IoT Operations components using Kubernetes deployment manifests, which is in PREVIEW. This feature is provided withseveral limitations, and shouldn't be used for production workloads. See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. Data flow profiles can be used to group data flows together so th",2025-11-20T18:41:00.000Z,how-to,configuration,0.7,True,Profiles group data flows and change behavior; article likely defines profile resource fields and allowed values.,unchanged
